Facility Location Problem Instance
Number of facilities: 60
Number of customers: 130
Grid size: 150x150
Facilities coordinates (x, y):
135, 31
3, 144
70, 92
5, 58
32, 132
109, 68
60, 44
139, 126
25, 36
123, 90
26, 148
30, 131
146, 21
41, 135
107, 140
91, 8
11, 72
115, 52
135, 81
107, 5
12, 118
46, 41
75, 56
13, 72
61, 105
148, 30
51, 136
99, 65
3, 94
110, 81
97, 85
148, 61
14, 72
19, 19
132, 106
132, 111
77, 44
108, 19
108, 30
124, 16
135, 24
98, 109
118, 30
136, 52
147, 34
134, 99
102, 69
74, 130
121, 15
106, 138
85, 44
117, 15
43, 52
123, 44
41, 113
6, 108
20, 6
95, 67
35, 135
144, 138
Customers coordinates (x, y):
64, 9
82, 114
85, 82
130, 133
86, 140
87, 28
12, 112
133, 70
28, 40
41, 24
131, 119
101, 128
21, 147
116, 31
121, 61
106, 6
104, 76
19, 67
123, 19
41, 88
104, 62
141, 149
144, 27
102, 118
111, 60
98, 2
48, 69
97, 139
12, 110
21, 8
127, 89
69, 33
57, 69
97, 40
125, 27
66, 16
66, 10
6, 73
88, 149
13, 4
128, 135
52, 23
112, 96
99, 30
128, 60
22, 64
37, 48
85, 136
141, 15
129, 9
89, 70
5, 112
72, 54
37, 15
30, 48
41, 108
105, 84
7, 111
98, 14
90, 144
57, 86
51, 10
67, 110
106, 26
61, 137
108, 110
76, 61
73, 106
43, 147
56, 47
38, 144
146, 88
51, 149
120, 6
116, 73
2, 16
29, 35
22, 34
18, 80
59, 101
147, 142
23, 94
67, 139
99, 72
77, 15
54, 82
125, 76
92, 34
34, 116
64, 38
83, 11
136, 30
49, 127
111, 75
43, 147
77, 119
110, 63
54, 122
29, 52
68, 9
67, 74
16, 31
31, 87
58, 97
137, 88
92, 20
44, 99
19, 20
68, 18
126, 43
88, 54
86, 144
33, 99
14, 71
48, 65
142, 144
71, 138
40, 30
53, 25
83, 125
97, 136
58, 47
147, 91
52, 94
31, 64
77, 147
87, 129
94, 137
130, 57
102, 0
Distances between facilities and customers:
Facility 0 to Customer 0: 74.33
Facility 0 to Customer 1: 98.48
Facility 0 to Customer 2: 71.42
Facility 0 to Customer 3: 102.12
Facility 0 to Customer 4: 119.51
Facility 0 to Customer 5: 48.09
Facility 0 to Customer 6: 147.28
Facility 0 to Customer 7: 39.05
Facility 0 to Customer 8: 107.38
Facility 0 to Customer 9: 94.26
Facility 0 to Customer 10: 88.09
Facility 0 to Customer 11: 102.79
Facility 0 to Customer 12: 162.64
Facility 0 to Customer 13: 19.00
Facility 0 to Customer 14: 33.11
Facility 0 to Customer 15: 38.29
Facility 0 to Customer 16: 54.64
Facility 0 to Customer 17: 121.46
Facility 0 to Customer 18: 16.97
Facility 0 to Customer 19: 109.93
Facility 0 to Customer 20: 43.84
Facility 0 to Customer 21: 118.15
Facility 0 to Customer 22: 9.85
Facility 0 to Customer 23: 93.05
Facility 0 to Customer 24: 37.64
Facility 0 to Customer 25: 47.01
Facility 0 to Customer 26: 94.94
Facility 0 to Customer 27: 114.49
Facility 0 to Customer 28: 146.18
Facility 0 to Customer 29: 116.30
Facility 0 to Customer 30: 58.55
Facility 0 to Customer 31: 66.03
Facility 0 to Customer 32: 86.76
Facility 0 to Customer 33: 39.05
Facility 0 to Customer 34: 10.77
Facility 0 to Customer 35: 70.61
Facility 0 to Customer 36: 72.12
Facility 0 to Customer 37: 135.67
Facility 0 to Customer 38: 127.02
Facility 0 to Customer 39: 124.95
Facility 0 to Customer 40: 104.24
Facility 0 to Customer 41: 83.38
Facility 0 to Customer 42: 68.95
Facility 0 to Customer 43: 36.01
Facility 0 to Customer 44: 29.83
Facility 0 to Customer 45: 117.72
Facility 0 to Customer 46: 99.46
Facility 0 to Customer 47: 116.30
Facility 0 to Customer 48: 17.09
Facility 0 to Customer 49: 22.80
Facility 0 to Customer 50: 60.31
Facility 0 to Customer 51: 153.17
Facility 0 to Customer 52: 67.07
Facility 0 to Customer 53: 99.30
Facility 0 to Customer 54: 106.37
Facility 0 to Customer 55: 121.51
Facility 0 to Customer 56: 60.90
