Facility Location Problem Instance
Number of facilities: 60
Number of customers: 130
Grid size: 150x150
Facilities coordinates (x, y):
32, 7
146, 92
30, 123
80, 37
24, 94
1, 64
93, 144
69, 111
83, 75
107, 118
46, 132
126, 141
52, 49
96, 74
141, 105
28, 62
79, 69
113, 90
115, 65
52, 58
27, 101
118, 140
130, 124
58, 40
27, 21
93, 79
99, 48
40, 119
137, 51
46, 99
101, 110
17, 62
131, 81
81, 46
50, 55
6, 15
111, 3
87, 64
61, 3
2, 37
95, 61
128, 24
27, 99
92, 103
40, 143
133, 16
24, 106
74, 58
83, 63
89, 107
88, 90
23, 108
112, 112
45, 15
58, 74
27, 53
19, 134
119, 18
145, 77
50, 116
Customers coordinates (x, y):
48, 82
23, 94
94, 86
34, 102
49, 105
18, 141
15, 129
53, 99
131, 4
45, 101
131, 78
22, 14
99, 47
50, 14
33, 82
65, 10
21, 35
91, 99
144, 85
81, 99
44, 95
15, 111
55, 18
107, 15
69, 66
93, 130
40, 49
8, 80
10, 99
40, 123
36, 50
9, 98
138, 88
44, 83
127, 58
32, 145
20, 35
75, 24
35, 2
122, 52
52, 1
32, 98
137, 44
149, 21
30, 57
19, 39
34, 61
117, 134
52, 86
94, 89
27, 36
17, 25
144, 51
87, 138
119, 68
46, 12
114, 102
54, 44
64, 111
90, 15
70, 133
28, 134
6, 51
32, 25
143, 143
85, 134
149, 139
77, 18
2, 21
128, 67
82, 131
63, 13
17, 15
13, 54
138, 94
144, 37
142, 91
5, 17
137, 101
70, 111
141, 53
124, 148
91, 125
140, 25
58, 134
112, 4
41, 137
75, 109
63, 2
130, 73
109, 118
116, 103
65, 86
0, 141
41, 44
129, 130
57, 71
126, 40
134, 95
70, 10
44, 41
16, 22
61, 104
2, 79
128, 137
51, 1
103, 79
140, 49
69, 100
64, 102
38, 127
145, 137
68, 149
21, 64
45, 29
52, 96
129, 125
138, 28
120, 11
119, 4
33, 133
149, 11
41, 22
72, 20
2, 68
99, 40
0, 17
99, 93
63, 128
68, 98
Distances between facilities and customers:
Facility 0 to Customer 0: 76.69
Facility 0 to Customer 1: 87.46
Facility 0 to Customer 2: 100.42
Facility 0 to Customer 3: 95.02
Facility 0 to Customer 4: 99.46
Facility 0 to Customer 5: 134.73
Facility 0 to Customer 6: 123.18
Facility 0 to Customer 7: 94.37
Facility 0 to Customer 8: 99.05
Facility 0 to Customer 9: 94.89
Facility 0 to Customer 10: 121.83
Facility 0 to Customer 11: 12.21
Facility 0 to Customer 12: 78.03
Facility 0 to Customer 13: 19.31
Facility 0 to Customer 14: 75.01
Facility 0 to Customer 15: 33.14
Facility 0 to Customer 16: 30.08
Facility 0 to Customer 17: 109.29
Facility 0 to Customer 18: 136.48
Facility 0 to Customer 19: 104.24
Facility 0 to Customer 20: 88.81
Facility 0 to Customer 21: 105.38
Facility 0 to Customer 22: 25.50
Facility 0 to Customer 23: 75.43
Facility 0 to Customer 24: 69.64
Facility 0 to Customer 25: 137.30
Facility 0 to Customer 26: 42.76
Facility 0 to Customer 27: 76.84
Facility 0 to Customer 28: 94.59
Facility 0 to Customer 29: 116.28
Facility 0 to Customer 30: 43.19
Facility 0 to Customer 31: 93.86
Facility 0 to Customer 32: 133.41
Facility 0 to Customer 33: 76.94
Facility 0 to Customer 34: 107.82
Facility 0 to Customer 35: 138.00
Facility 0 to Customer 36: 30.46
Facility 0 to Customer 37: 46.24
Facility 0 to Customer 38: 5.83
Facility 0 to Customer 39: 100.62
Facility 0 to Customer 40: 20.88
Facility 0 to Customer 41: 91.00
Facility 0 to Customer 42: 111.33
Facility 0 to Customer 43: 117.83
Facility 0 to Customer 44: 50.04
Facility 0 to Customer 45: 34.54
Facility 0 to Customer 46: 54.04
Facility 0 to Customer 47: 152.82
Facility 0 to Customer 48: 81.49
Facility 0 to Customer 49: 102.80
Facility 0 to Customer 50: 29.43
Facility 0 to Customer 51: 23.43
Facility 0 to Customer 52: 120.33
Facility 0 to Customer 53: 142.08
Facility 0 to Customer 54: 106.25
Facility 0 to Customer 55: 14.87
Facility 0 to Customer 56: 125.50
Facility 0 to Customer 57: 43.05
Facility 0 to Customer 58: 108.81
Facility 0 to Customer 59: 58.55
Facility 0 to Customer 60: 131.61
Facility 0 to Customer 61: 127.06
Facility 0 to Customer 62: 51.11
Facility 0 to Customer 63: 18.00
Facility 0 to Customer 64: 175.55
Facility 0 to Customer 65: 137.62
Facility 0 to Customer 66: 176.39
Facility 0 to Customer 67: 46.32
Facility 0 to Customer 68: 33.11
Facility 0 to Customer 69: 113.21
Facility 0 to Customer 70: 133.70
Facility 0 to Customer 71: 31.58
Facility 0 to Customer 72: 17.00
Facility 0 to Customer 73: 50.70
Facility 0 to Customer 74: 137.13
Facility 0 to Customer 75: 115.95
Facility 0 to Customer 76: 138.41
Facility 0 to Customer 77: 28.79
Facility 0 to Customer 78: 140.93
Facility 0 to Customer 79: 110.72
Facility 0 to Customer 80: 118.31
Facility 0 to Customer 81: 168.36
Facility 0 to Customer 82: 131.93
Facility 0 to Customer 83: 109.49
Facility 0 to Customer 84: 129.63
Facility 0 to Customer 85: 80.06
Facility 0 to Customer 86: 130.31
Facility 0 to Customer 87: 110.69
Facility 0 to Customer 88: 31.40
Facility 0 to Customer 89: 118.15
Facility 0 to Customer 90: 135.09
Facility 0 to Customer 91: 127.56
Facility 0 to Customer 92: 85.62
Facility 0 to Customer 93: 137.77
Facility 0 to Customer 94: 38.08
Facility 0 to Customer 95: 156.65
Facility 0 to Customer 96: 68.71
Facility 0 to Customer 97: 99.62
Facility 0 to Customer 98: 134.71
Facility 0 to Customer 99: 38.12
Facility 0 to Customer 100: 36.06
Facility 0 to Customer 101: 21.93
Facility 0 to Customer 102: 101.24
Facility 0 to Customer 103: 78.00
Facility 0 to Customer 104: 161.60
Facility 0 to Customer 105: 19.92
Facility 0 to Customer 106: 101.12
Facility 0 to Customer 107: 115.88
Facility 0 to Customer 108: 100.09
Facility 0 to Customer 109: 100.24
Facility 0 to Customer 110: 120.15
Facility 0 to Customer 111: 172.25
Facility 0 to Customer 112: 146.49
Facility 0 to Customer 113: 58.05
Facility 0 to Customer 114: 25.55
Facility 0 to Customer 115: 91.22
Facility 0 to Customer 116: 152.75
Facility 0 to Customer 117: 108.06
Facility 0 to Customer 118: 88.09
Facility 0 to Customer 119: 87.05
Facility 0 to Customer 120: 126.00
Facility 0 to Customer 121: 117.07
Facility 0 to Customer 122: 17.49
Facility 0 to Customer 123: 42.06
Facility 0 to Customer 124: 67.98
Facility 0 to Customer 125: 74.69
Facility 0 to Customer 126: 33.53
Facility 0 to Customer 127: 109.02
Facility 0 to Customer 128: 124.91
Facility 0 to Customer 129: 97.86
Facility 1 to Customer 0: 98.51
Facility 1 to Customer 1: 123.02
Facility 1 to Customer 2: 52.35
Facility 1 to Customer 3: 112.45
Facility 1 to Customer 4: 97.87
Facility 1 to Customer 5: 137.06
Facility 1 to Customer 6: 136.12
Facility 1 to Customer 7: 93.26
Facility 1 to Customer 8: 89.27
Facility 1 to Customer 9: 101.40
Facility 1 to Customer 10: 20.52
Facility 1 to Customer 11: 146.49
Facility 1 to Customer 12: 65.07
Facility 1 to Customer 13: 123.69
Facility 1 to Customer 14: 113.44
Facility 1 to Customer 15: 115.26
Facility 1 to Customer 16: 137.38
Facility 1 to Customer 17: 55.44
Facility 1 to Customer 18: 7.28
Facility 1 to Customer 19: 65.38
Facility 1 to Customer 20: 102.04
Facility 1 to Customer 21: 132.37
Facility 1 to Customer 22: 117.29
Facility 1 to Customer 23: 86.31
Facility 1 to Customer 24: 81.27
Facility 1 to Customer 25: 65.22
Facility 1 to Customer 26: 114.39
Facility 1 to Customer 27: 138.52
Facility 1 to Customer 28: 136.18
Facility 1 to Customer 29: 110.44
Facility 1 to Customer 30: 117.75
Facility 1 to Customer 31: 137.13
Facility 1 to Customer 32: 8.94
Facility 1 to Customer 33: 102.40
Facility 1 to Customer 34: 38.95
Facility 1 to Customer 35: 125.72
Facility 1 to Customer 36: 138.29
Facility 1 to Customer 37: 98.31
Facility 1 to Customer 38: 142.90
