Facility Location Problem Instance
Number of facilities: 60
Number of customers: 130
Grid size: 150x150
Facilities coordinates (x, y):
48, 70
46, 144
106, 25
86, 123
28, 30
91, 109
126, 101
14, 67
22, 146
47, 8
1, 114
108, 44
15, 90
114, 36
105, 19
142, 147
6, 126
65, 29
76, 60
18, 9
14, 11
109, 123
143, 149
6, 5
13, 142
16, 31
3, 51
89, 96
80, 90
118, 101
4, 89
36, 116
75, 136
60, 7
113, 109
112, 62
91, 137
102, 33
14, 36
27, 0
41, 1
20, 75
132, 22
117, 124
20, 127
145, 59
26, 31
124, 56
21, 49
88, 11
140, 75
139, 33
33, 6
8, 142
61, 115
67, 120
99, 123
7, 76
92, 6
103, 18
Customers coordinates (x, y):
115, 70
137, 140
67, 93
21, 124
112, 136
33, 97
140, 144
42, 52
106, 36
81, 110
64, 39
78, 38
17, 145
47, 149
33, 68
90, 49
78, 48
26, 93
49, 3
135, 108
71, 49
15, 148
82, 96
41, 95
47, 28
31, 111
101, 133
14, 101
137, 32
81, 7
9, 5
93, 90
106, 63
68, 129
136, 81
55, 54
129, 72
26, 23
137, 14
125, 45
46, 20
36, 60
37, 79
81, 149
31, 9
100, 116
136, 1
79, 82
66, 128
108, 29
51, 57
56, 81
30, 30
97, 10
148, 48
1, 72
115, 30
10, 91
111, 92
57, 144
38, 90
101, 86
120, 45
71, 69
39, 118
0, 146
137, 49
105, 64
137, 33
11, 56
104, 71
21, 106
79, 79
96, 91
50, 108
31, 102
66, 77
101, 97
5, 95
56, 98
118, 32
29, 72
21, 15
5, 108
93, 85
55, 121
59, 138
91, 118
110, 115
148, 97
121, 72
11, 14
95, 53
113, 127
5, 104
130, 74
104, 73
17, 132
28, 85
32, 20
33, 62
116, 48
129, 1
25, 22
29, 110
109, 49
90, 10
102, 1
3, 77
122, 119
134, 6
17, 48
131, 6
111, 21
24, 98
126, 97
140, 146
59, 58
109, 149
124, 129
101, 48
12, 92
22, 59
53, 85
85, 137
87, 64
79, 35
45, 107
35, 123
126, 42
Distances between facilities and customers:
Facility 0 to Customer 0: 67.00
Facility 0 to Customer 1: 113.23
Facility 0 to Customer 2: 29.83
Facility 0 to Customer 3: 60.37
Facility 0 to Customer 4: 91.93
Facility 0 to Customer 5: 30.89
Facility 0 to Customer 6: 118.07
Facility 0 to Customer 7: 18.97
Facility 0 to Customer 8: 67.23
Facility 0 to Customer 9: 51.86
Facility 0 to Customer 10: 34.89
Facility 0 to Customer 11: 43.86
Facility 0 to Customer 12: 81.15
Facility 0 to Customer 13: 79.01
Facility 0 to Customer 14: 15.13
Facility 0 to Customer 15: 46.96
Facility 0 to Customer 16: 37.20
Facility 0 to Customer 17: 31.83
Facility 0 to Customer 18: 67.01
Facility 0 to Customer 19: 94.94
Facility 0 to Customer 20: 31.14
Facility 0 to Customer 21: 84.69
Facility 0 to Customer 22: 42.80
Facility 0 to Customer 23: 25.96
Facility 0 to Customer 24: 42.01
Facility 0 to Customer 25: 44.38
Facility 0 to Customer 26: 82.33
Facility 0 to Customer 27: 46.01
Facility 0 to Customer 28: 96.77
Facility 0 to Customer 29: 71.12
Facility 0 to Customer 30: 75.80
Facility 0 to Customer 31: 49.24
Facility 0 to Customer 32: 58.42
Facility 0 to Customer 33: 62.30
Facility 0 to Customer 34: 88.68
Facility 0 to Customer 35: 17.46
Facility 0 to Customer 36: 81.02
Facility 0 to Customer 37: 51.89
Facility 0 to Customer 38: 105.15
Facility 0 to Customer 39: 80.96
Facility 0 to Customer 40: 50.04
Facility 0 to Customer 41: 15.62
Facility 0 to Customer 42: 14.21
Facility 0 to Customer 43: 85.62
Facility 0 to Customer 44: 63.32
Facility 0 to Customer 45: 69.43
Facility 0 to Customer 46: 111.83
Facility 0 to Customer 47: 33.24
Facility 0 to Customer 48: 60.73
Facility 0 to Customer 49: 72.67
Facility 0 to Customer 50: 13.34
Facility 0 to Customer 51: 13.60
Facility 0 to Customer 52: 43.86
Facility 0 to Customer 53: 77.47
Facility 0 to Customer 54: 102.39
Facility 0 to Customer 55: 47.04
Facility 0 to Customer 56: 78.03
Facility 0 to Customer 57: 43.42
Facility 0 to Customer 58: 66.73
Facility 0 to Customer 59: 74.55
Facility 0 to Customer 60: 22.36
Facility 0 to Customer 61: 55.36
Facility 0 to Customer 62: 76.22
Facility 0 to Customer 63: 23.02
Facility 0 to Customer 64: 48.84
Facility 0 to Customer 65: 89.89
Facility 0 to Customer 66: 91.44
Facility 0 to Customer 67: 57.31
Facility 0 to Customer 68: 96.38
Facility 0 to Customer 69: 39.56
Facility 0 to Customer 70: 56.01
Facility 0 to Customer 71: 45.00
Facility 0 to Customer 72: 32.28
Facility 0 to Customer 73: 52.39
Facility 0 to Customer 74: 38.05
Facility 0 to Customer 75: 36.24
Facility 0 to Customer 76: 19.31
Facility 0 to Customer 77: 59.48
Facility 0 to Customer 78: 49.74
Facility 0 to Customer 79: 29.12
Facility 0 to Customer 80: 79.65
Facility 0 to Customer 81: 19.10
Facility 0 to Customer 82: 61.27
Facility 0 to Customer 83: 57.38
Facility 0 to Customer 84: 47.43
Facility 0 to Customer 85: 51.48
Facility 0 to Customer 86: 68.88
Facility 0 to Customer 87: 64.44
Facility 0 to Customer 88: 76.61
Facility 0 to Customer 89: 103.58
Facility 0 to Customer 90: 73.03
Facility 0 to Customer 91: 67.12
Facility 0 to Customer 92: 49.98
Facility 0 to Customer 93: 86.45
Facility 0 to Customer 94: 54.82
Facility 0 to Customer 95: 82.10
Facility 0 to Customer 96: 56.08
Facility 0 to Customer 97: 69.32
Facility 0 to Customer 98: 25.00
Facility 0 to Customer 99: 52.50
Facility 0 to Customer 100: 17.00
Facility 0 to Customer 101: 71.47
Facility 0 to Customer 102: 106.40
Facility 0 to Customer 103: 53.23
Facility 0 to Customer 104: 44.28
Facility 0 to Customer 105: 64.51
Facility 0 to Customer 106: 73.24
Facility 0 to Customer 107: 87.62
Facility 0 to Customer 108: 45.54
Facility 0 to Customer 109: 88.75
Facility 0 to Customer 110: 107.20
Facility 0 to Customer 111: 38.01
Facility 0 to Customer 112: 104.81
Facility 0 to Customer 113: 79.81
Facility 0 to Customer 114: 36.88
Facility 0 to Customer 115: 82.54
Facility 0 to Customer 116: 119.33
Facility 0 to Customer 117: 16.28
Facility 0 to Customer 118: 99.81
Facility 0 to Customer 119: 96.21
Facility 0 to Customer 120: 57.38
Facility 0 to Customer 121: 42.19
Facility 0 to Customer 122: 28.23
Facility 0 to Customer 123: 15.81
Facility 0 to Customer 124: 76.54
Facility 0 to Customer 125: 39.46
Facility 0 to Customer 126: 46.75
Facility 0 to Customer 127: 37.12
Facility 0 to Customer 128: 54.57
Facility 0 to Customer 129: 82.87
