Facility Location Problem Instance
Number of facilities: 60
Number of customers: 130
Grid size: 150x150
Facilities coordinates (x, y):
60, 17
106, 103
110, 146
32, 5
94, 4
131, 127
105, 70
126, 10
80, 84
144, 112
33, 101
80, 137
139, 142
38, 12
91, 29
131, 14
79, 93
96, 45
143, 7
144, 68
140, 37
77, 30
141, 97
143, 28
23, 50
98, 108
19, 134
17, 69
4, 146
124, 23
17, 134
68, 11
128, 103
42, 24
54, 51
69, 25
95, 27
97, 46
98, 128
5, 94
72, 44
84, 79
92, 85
78, 33
70, 112
42, 23
110, 88
145, 20
43, 104
95, 25
125, 129
118, 66
140, 25
46, 86
104, 146
22, 125
56, 95
81, 96
120, 65
137, 113
Customers coordinates (x, y):
59, 27
123, 91
133, 77
78, 38
116, 149
97, 126
97, 84
20, 92
138, 38
8, 76
50, 30
50, 121
92, 9
107, 91
61, 131
119, 93
33, 65
79, 126
94, 76
33, 101
24, 140
21, 133
49, 88
135, 140
111, 33
84, 61
58, 149
37, 13
7, 73
18, 38
33, 18
108, 19
88, 15
78, 17
76, 85
149, 49
57, 146
114, 120
128, 28
116, 112
115, 79
79, 79
40, 25
82, 11
68, 42
78, 9
72, 122
129, 79
27, 25
139, 56
116, 145
77, 79
75, 46
90, 95
42, 81
87, 21
113, 88
79, 63
27, 27
75, 42
40, 84
25, 1
28, 67
15, 46
118, 54
75, 64
119, 128
76, 49
68, 11
135, 107
78, 49
47, 63
99, 75
88, 49
101, 7
122, 119
39, 51
74, 135
18, 132
62, 15
87, 43
132, 70
34, 120
4, 71
1, 37
32, 39
119, 98
148, 2
20, 27
4, 50
59, 0
0, 37
55, 74
86, 86
149, 43
79, 9
139, 108
74, 126
88, 62
15, 26
148, 27
72, 3
3, 43
137, 144
134, 8
125, 24
79, 111
125, 102
87, 25
2, 93
70, 26
121, 139
51, 37
12, 137
86, 42
3, 34
121, 32
127, 126
42, 75
135, 88
65, 114
41, 106
11, 64
121, 4
92, 62
50, 7
97, 57
102, 81
84, 119
148, 121
Distances between facilities and customers:
Facility 0 to Customer 0: 10.05
Facility 0 to Customer 1: 97.19
Facility 0 to Customer 2: 94.49
Facility 0 to Customer 3: 27.66
Facility 0 to Customer 4: 143.39
Facility 0 to Customer 5: 115.11
Facility 0 to Customer 6: 76.54
Facility 0 to Customer 7: 85.00
