Facility Location Problem Instance
Number of facilities: 8
Number of customers: 9
Grid size: 100x100
Facilities coordinates (x, y):
19, 40
27, 44
16, 29
54, 19
12, 24
54, 30
6, 15
24, 36
Customers coordinates (x, y):
22, 36
18, 44
18, 1
53, 42
25, 17
0, 36
55, 43
49, 47
3, 58
Distances between facilities and customers:
Facility 0 to Customer 0: 5.00
Facility 0 to Customer 1: 4.12
Facility 0 to Customer 2: 39.01
Facility 0 to Customer 3: 34.06
Facility 0 to Customer 4: 23.77
Facility 0 to Customer 5: 19.42
Facility 0 to Customer 6: 36.12
Facility 0 to Customer 7: 30.81
Facility 0 to Customer 8: 24.08
Facility 1 to Customer 0: 9.43
Facility 1 to Customer 1: 9.00
Facility 1 to Customer 2: 43.93
Facility 1 to Customer 3: 26.08
Facility 1 to Customer 4: 27.07
Facility 1 to Customer 5: 28.16
Facility 1 to Customer 6: 28.02
Facility 1 to Customer 7: 22.20
Facility 1 to Customer 8: 27.78
Facility 2 to Customer 0: 9.22
Facility 2 to Customer 1: 15.13
Facility 2 to Customer 2: 28.07
Facility 2 to Customer 3: 39.22
Facility 2 to Customer 4: 15.00
Facility 2 to Customer 5: 17.46
Facility 2 to Customer 6: 41.44
Facility 2 to Customer 7: 37.59
Facility 2 to Customer 8: 31.78
Facility 3 to Customer 0: 36.24
Facility 3 to Customer 1: 43.83
Facility 3 to Customer 2: 40.25
Facility 3 to Customer 3: 23.02
Facility 3 to Customer 4: 29.07
Facility 3 to Customer 5: 56.61
Facility 3 to Customer 6: 24.02
Facility 3 to Customer 7: 28.44
Facility 3 to Customer 8: 64.20
Facility 4 to Customer 0: 15.62
Facility 4 to Customer 1: 20.88
Facility 4 to Customer 2: 23.77
Facility 4 to Customer 3: 44.78
Facility 4 to Customer 4: 14.76
Facility 4 to Customer 5: 16.97
Facility 4 to Customer 6: 47.01
Facility 4 to Customer 7: 43.57
Facility 4 to Customer 8: 35.17
Facility 5 to Customer 0: 32.56
Facility 5 to Customer 1: 38.63
Facility 5 to Customer 2: 46.23
Facility 5 to Customer 3: 12.04
Facility 5 to Customer 4: 31.78
Facility 5 to Customer 5: 54.33
Facility 5 to Customer 6: 13.04
Facility 5 to Customer 7: 17.72
Facility 5 to Customer 8: 58.18
Facility 6 to Customer 0: 26.40
Facility 6 to Customer 1: 31.38
Facility 6 to Customer 2: 18.44
Facility 6 to Customer 3: 54.20
Facility 6 to Customer 4: 19.10
Facility 6 to Customer 5: 21.84
Facility 6 to Customer 6: 56.44
Facility 6 to Customer 7: 53.60
Facility 6 to Customer 8: 43.10
Facility 7 to Customer 0: 2.00
Facility 7 to Customer 1: 10.00
Facility 7 to Customer 2: 35.51
Facility 7 to Customer 3: 29.61
Facility 7 to Customer 4: 19.03
Facility 7 to Customer 5: 24.00
Facility 7 to Customer 6: 31.78
Facility 7 to Customer 7: 27.31
Facility 7 to Customer 8: 30.41
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 6
Facility 0 to Customer 1: 12
Facility 0 to Customer 2: 15
Facility 0 to Customer 3: 22
Facility 0 to Customer 4: 7
Facility 0 to Customer 5: 5
Facility 0 to Customer 6: 15
Facility 0 to Customer 7: 20
Facility 0 to Customer 8: 22
Facility 1 to Customer 0: 20
Facility 1 to Customer 1: 14
Facility 1 to Customer 2: 22
Facility 1 to Customer 3: 10
Facility 1 to Customer 4: 23
Facility 1 to Customer 5: 8
Facility 1 to Customer 6: 17
Facility 1 to Customer 7: 18
Facility 1 to Customer 8: 7
Facility 2 to Customer 0: 14
Facility 2 to Customer 1: 10
Facility 2 to Customer 2: 5
Facility 2 to Customer 3: 18
Facility 2 to Customer 4: 12
Facility 2 to Customer 5: 23
Facility 2 to Customer 6: 18
Facility 2 to Customer 7: 14
Facility 2 to Customer 8: 21
Facility 3 to Customer 0: 13
Facility 3 to Customer 1: 10
Facility 3 to Customer 2: 15
Facility 3 to Customer 3: 11
Facility 3 to Customer 4: 21
Facility 3 to Customer 5: 5
Facility 3 to Customer 6: 9
Facility 3 to Customer 7: 13
Facility 3 to Customer 8: 22
Facility 4 to Customer 0: 6
Facility 4 to Customer 1: 15
Facility 4 to Customer 2: 10
Facility 4 to Customer 3: 12
Facility 4 to Customer 4: 8
Facility 4 to Customer 5: 22
Facility 4 to Customer 6: 15
Facility 4 to Customer 7: 9
Facility 4 to Customer 8: 19
Facility 5 to Customer 0: 22
Facility 5 to Customer 1: 6
Facility 5 to Customer 2: 15
Facility 5 to Customer 3: 17
Facility 5 to Customer 4: 8
Facility 5 to Customer 5: 11
Facility 5 to Customer 6: 15
Facility 5 to Customer 7: 8
Facility 5 to Customer 8: 19
Facility 6 to Customer 0: 5
Facility 6 to Customer 1: 7
Facility 6 to Customer 2: 18
Facility 6 to Customer 3: 10
Facility 6 to Customer 4: 22
Facility 6 to Customer 5: 5
Facility 6 to Customer 6: 10
Facility 6 to Customer 7: 10
Facility 6 to Customer 8: 20
Facility 7 to Customer 0: 9
Facility 7 to Customer 1: 21
Facility 7 to Customer 2: 14
Facility 7 to Customer 3: 22
Facility 7 to Customer 4: 11
Facility 7 to Customer 5: 7
Facility 7 to Customer 6: 17
Facility 7 to Customer 7: 19
Facility 7 to Customer 8: 24
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 28
Facility 0 to Customer 1: 12
Facility 0 to Customer 2: 13
Facility 0 to Customer 3: 14
Facility 0 to Customer 4: 10
Facility 0 to Customer 5: 13
Facility 0 to Customer 6: 21
Facility 0 to Customer 7: 33
Facility 0 to Customer 8: 19
Facility 1 to Customer 0: 32
Facility 1 to Customer 1: 34
Facility 1 to Customer 2: 30
Facility 1 to Customer 3: 29
Facility 1 to Customer 4: 33
Facility 1 to Customer 5: 34
Facility 1 to Customer 6: 22
Facility 1 to Customer 7: 32
Facility 1 to Customer 8: 23
Facility 2 to Customer 0: 32
Facility 2 to Customer 1: 14
Facility 2 to Customer 2: 13
Facility 2 to Customer 3: 23
Facility 2 to Customer 4: 19
Facility 2 to Customer 5: 26
Facility 2 to Customer 6: 19
Facility 2 to Customer 7: 16
Facility 2 to Customer 8: 25
Facility 3 to Customer 0: 10
Facility 3 to Customer 1: 26
Facility 3 to Customer 2: 30
Facility 3 to Customer 3: 18
Facility 3 to Customer 4: 15
Facility 3 to Customer 5: 28
Facility 3 to Customer 6: 22
Facility 3 to Customer 7: 12
Facility 3 to Customer 8: 16
Facility 4 to Customer 0: 31
Facility 4 to Customer 1: 18
Facility 4 to Customer 2: 31
Facility 4 to Customer 3: 14
Facility 4 to Customer 4: 19
Facility 4 to Customer 5: 32
Facility 4 to Customer 6: 26
Facility 4 to Customer 7: 21
Facility 4 to Customer 8: 32
Facility 5 to Customer 0: 25
Facility 5 to Customer 1: 12
Facility 5 to Customer 2: 34
Facility 5 to Customer 3: 31
Facility 5 to Customer 4: 18
Facility 5 to Customer 5: 24
Facility 5 to Customer 6: 14
Facility 5 to Customer 7: 32
Facility 5 to Customer 8: 22
Facility 6 to Customer 0: 23
Facility 6 to Customer 1: 29
Facility 6 to Customer 2: 24
Facility 6 to Customer 3: 25
Facility 6 to Customer 4: 32
Facility 6 to Customer 5: 22
Facility 6 to Customer 6: 26
Facility 6 to Customer 7: 32
Facility 6 to Customer 8: 17
Facility 7 to Customer 0: 30
Facility 7 to Customer 1: 11
Facility 7 to Customer 2: 14
Facility 7 to Customer 3: 15
Facility 7 to Customer 4: 21
Facility 7 to Customer 5: 27
Facility 7 to Customer 6: 31
Facility 7 to Customer 7: 31
Facility 7 to Customer 8: 10
Facility capacities:
Facility 0: 21
Facility 1: 15
Facility 2: 14
Facility 3: 23
Facility 4: 18
Facility 5: 14
Facility 6: 19
Facility 7: 23
Small drone payload capacity: 20
Large drone payload capacity: 36
Small drone max range: 39
Large drone max range: 109
