Facility Location Problem Instance
Number of facilities: 7
Number of customers: 8
Grid size: 100x100
Facilities coordinates (x, y):
17, 2
3, 35
18, 44
8, 40
48, 31
6, 0
36, 18
Customers coordinates (x, y):
30, 30
28, 21
11, 3
16, 30
7, 4
25, 31
4, 36
40, 43
Distances between facilities and customers:
Facility 0 to Customer 0: 30.87
Facility 0 to Customer 1: 21.95
Facility 0 to Customer 2: 6.08
Facility 0 to Customer 3: 28.02
Facility 0 to Customer 4: 10.20
Facility 0 to Customer 5: 30.08
Facility 0 to Customer 6: 36.40
Facility 0 to Customer 7: 47.01
Facility 1 to Customer 0: 27.46
Facility 1 to Customer 1: 28.65
Facility 1 to Customer 2: 32.98
Facility 1 to Customer 3: 13.93
Facility 1 to Customer 4: 31.26
Facility 1 to Customer 5: 22.36
Facility 1 to Customer 6: 1.41
Facility 1 to Customer 7: 37.85
Facility 2 to Customer 0: 18.44
Facility 2 to Customer 1: 25.08
Facility 2 to Customer 2: 41.59
Facility 2 to Customer 3: 14.14
Facility 2 to Customer 4: 41.48
Facility 2 to Customer 5: 14.76
Facility 2 to Customer 6: 16.12
Facility 2 to Customer 7: 22.02
Facility 3 to Customer 0: 24.17
Facility 3 to Customer 1: 27.59
Facility 3 to Customer 2: 37.12
Facility 3 to Customer 3: 12.81
Facility 3 to Customer 4: 36.01
Facility 3 to Customer 5: 19.24
Facility 3 to Customer 6: 5.66
Facility 3 to Customer 7: 32.14
Facility 4 to Customer 0: 18.03
Facility 4 to Customer 1: 22.36
Facility 4 to Customer 2: 46.40
Facility 4 to Customer 3: 32.02
Facility 4 to Customer 4: 49.09
Facility 4 to Customer 5: 23.00
Facility 4 to Customer 6: 44.28
Facility 4 to Customer 7: 14.42
Facility 5 to Customer 0: 38.42
Facility 5 to Customer 1: 30.41
Facility 5 to Customer 2: 5.83
Facility 5 to Customer 3: 31.62
Facility 5 to Customer 4: 4.12
Facility 5 to Customer 5: 36.36
Facility 5 to Customer 6: 36.06
Facility 5 to Customer 7: 54.82
Facility 6 to Customer 0: 13.42
Facility 6 to Customer 1: 8.54
Facility 6 to Customer 2: 29.15
Facility 6 to Customer 3: 23.32
Facility 6 to Customer 4: 32.20
Facility 6 to Customer 5: 17.03
Facility 6 to Customer 6: 36.72
Facility 6 to Customer 7: 25.32
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 13
Facility 0 to Customer 1: 20
Facility 0 to Customer 2: 17
Facility 0 to Customer 3: 13
Facility 0 to Customer 4: 24
Facility 0 to Customer 5: 8
Facility 0 to Customer 6: 14
Facility 0 to Customer 7: 16
Facility 1 to Customer 0: 21
Facility 1 to Customer 1: 18
Facility 1 to Customer 2: 18
Facility 1 to Customer 3: 6
Facility 1 to Customer 4: 24
Facility 1 to Customer 5: 15
Facility 1 to Customer 6: 20
Facility 1 to Customer 7: 23
Facility 2 to Customer 0: 10
Facility 2 to Customer 1: 23
Facility 2 to Customer 2: 9
Facility 2 to Customer 3: 8
Facility 2 to Customer 4: 19
Facility 2 to Customer 5: 8
Facility 2 to Customer 6: 24
Facility 2 to Customer 7: 14
Facility 3 to Customer 0: 7
Facility 3 to Customer 1: 9
Facility 3 to Customer 2: 10
Facility 3 to Customer 3: 12
Facility 3 to Customer 4: 11
Facility 3 to Customer 5: 14
Facility 3 to Customer 6: 10
Facility 3 to Customer 7: 18
Facility 4 to Customer 0: 8
Facility 4 to Customer 1: 17
Facility 4 to Customer 2: 24
Facility 4 to Customer 3: 21
Facility 4 to Customer 4: 11
Facility 4 to Customer 5: 8
Facility 4 to Customer 6: 18
Facility 4 to Customer 7: 7
Facility 5 to Customer 0: 9
Facility 5 to Customer 1: 20
Facility 5 to Customer 2: 24
Facility 5 to Customer 3: 8
Facility 5 to Customer 4: 6
Facility 5 to Customer 5: 22
Facility 5 to Customer 6: 23
Facility 5 to Customer 7: 23
Facility 6 to Customer 0: 21
Facility 6 to Customer 1: 18
Facility 6 to Customer 2: 23
Facility 6 to Customer 3: 17
Facility 6 to Customer 4: 16
Facility 6 to Customer 5: 10
Facility 6 to Customer 6: 8
Facility 6 to Customer 7: 23
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 25
Facility 0 to Customer 1: 22
Facility 0 to Customer 2: 13
Facility 0 to Customer 3: 32
Facility 0 to Customer 4: 26
Facility 0 to Customer 5: 32
Facility 0 to Customer 6: 10
Facility 0 to Customer 7: 27
Facility 1 to Customer 0: 29
Facility 1 to Customer 1: 26
Facility 1 to Customer 2: 24
Facility 1 to Customer 3: 20
Facility 1 to Customer 4: 34
Facility 1 to Customer 5: 31
Facility 1 to Customer 6: 22
Facility 1 to Customer 7: 10
Facility 2 to Customer 0: 26
Facility 2 to Customer 1: 15
Facility 2 to Customer 2: 13
Facility 2 to Customer 3: 29
Facility 2 to Customer 4: 25
Facility 2 to Customer 5: 24
Facility 2 to Customer 6: 24
Facility 2 to Customer 7: 15
Facility 3 to Customer 0: 24
Facility 3 to Customer 1: 23
Facility 3 to Customer 2: 20
Facility 3 to Customer 3: 16
Facility 3 to Customer 4: 18
Facility 3 to Customer 5: 25
Facility 3 to Customer 6: 14
Facility 3 to Customer 7: 34
