Facility Location Problem Instance
Number of facilities: 8
Number of customers: 9
Grid size: 100x100
Facilities coordinates (x, y):
22, 21
35, 48
34, 24
29, 59
20, 55
12, 44
15, 36
24, 14
Customers coordinates (x, y):
54, 49
26, 2
20, 47
30, 45
58, 51
24, 24
42, 50
52, 41
9, 31
Distances between facilities and customers:
Facility 0 to Customer 0: 42.52
Facility 0 to Customer 1: 19.42
Facility 0 to Customer 2: 26.08
Facility 0 to Customer 3: 25.30
Facility 0 to Customer 4: 46.86
Facility 0 to Customer 5: 3.61
Facility 0 to Customer 6: 35.23
Facility 0 to Customer 7: 36.06
Facility 0 to Customer 8: 16.40
Facility 1 to Customer 0: 19.03
Facility 1 to Customer 1: 46.87
Facility 1 to Customer 2: 15.03
Facility 1 to Customer 3: 5.83
Facility 1 to Customer 4: 23.19
Facility 1 to Customer 5: 26.40
Facility 1 to Customer 6: 7.28
Facility 1 to Customer 7: 18.38
Facility 1 to Customer 8: 31.06
Facility 2 to Customer 0: 32.02
Facility 2 to Customer 1: 23.41
Facility 2 to Customer 2: 26.93
Facility 2 to Customer 3: 21.38
Facility 2 to Customer 4: 36.12
Facility 2 to Customer 5: 10.00
Facility 2 to Customer 6: 27.20
Facility 2 to Customer 7: 24.76
Facility 2 to Customer 8: 25.96
Facility 3 to Customer 0: 26.93
Facility 3 to Customer 1: 57.08
Facility 3 to Customer 2: 15.00
Facility 3 to Customer 3: 14.04
Facility 3 to Customer 4: 30.08
Facility 3 to Customer 5: 35.36
Facility 3 to Customer 6: 15.81
Facility 3 to Customer 7: 29.21
Facility 3 to Customer 8: 34.41
Facility 4 to Customer 0: 34.53
Facility 4 to Customer 1: 53.34
Facility 4 to Customer 2: 8.00
Facility 4 to Customer 3: 14.14
Facility 4 to Customer 4: 38.21
Facility 4 to Customer 5: 31.26
Facility 4 to Customer 6: 22.56
Facility 4 to Customer 7: 34.93
Facility 4 to Customer 8: 26.40
Facility 5 to Customer 0: 42.30
Facility 5 to Customer 1: 44.27
Facility 5 to Customer 2: 8.54
Facility 5 to Customer 3: 18.03
Facility 5 to Customer 4: 46.53
Facility 5 to Customer 5: 23.32
Facility 5 to Customer 6: 30.59
Facility 5 to Customer 7: 40.11
Facility 5 to Customer 8: 13.34
Facility 6 to Customer 0: 41.11
Facility 6 to Customer 1: 35.74
Facility 6 to Customer 2: 12.08
Facility 6 to Customer 3: 17.49
Facility 6 to Customer 4: 45.54
Facility 6 to Customer 5: 15.00
Facility 6 to Customer 6: 30.41
Facility 6 to Customer 7: 37.34
Facility 6 to Customer 8: 7.81
Facility 7 to Customer 0: 46.10
Facility 7 to Customer 1: 12.17
Facility 7 to Customer 2: 33.24
Facility 7 to Customer 3: 31.58
Facility 7 to Customer 4: 50.25
Facility 7 to Customer 5: 10.00
Facility 7 to Customer 6: 40.25
Facility 7 to Customer 7: 38.90
Facility 7 to Customer 8: 22.67
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 7
Facility 0 to Customer 1: 10
Facility 0 to Customer 2: 16
Facility 0 to Customer 3: 16
Facility 0 to Customer 4: 12
Facility 0 to Customer 5: 5
Facility 0 to Customer 6: 8
Facility 0 to Customer 7: 15
Facility 0 to Customer 8: 7
Facility 1 to Customer 0: 17
Facility 1 to Customer 1: 21
Facility 1 to Customer 2: 14
Facility 1 to Customer 3: 16
Facility 1 to Customer 4: 19
Facility 1 to Customer 5: 14
Facility 1 to Customer 6: 18
Facility 1 to Customer 7: 17
Facility 1 to Customer 8: 9
Facility 2 to Customer 0: 10
Facility 2 to Customer 1: 6
Facility 2 to Customer 2: 21
Facility 2 to Customer 3: 8
Facility 2 to Customer 4: 18
Facility 2 to Customer 5: 14
Facility 2 to Customer 6: 7
Facility 2 to Customer 7: 7
Facility 2 to Customer 8: 19
Facility 3 to Customer 0: 10
Facility 3 to Customer 1: 21
Facility 3 to Customer 2: 16
Facility 3 to Customer 3: 24
Facility 3 to Customer 4: 15
Facility 3 to Customer 5: 8
Facility 3 to Customer 6: 10
Facility 3 to Customer 7: 5
Facility 3 to Customer 8: 24
Facility 4 to Customer 0: 20
Facility 4 to Customer 1: 19
Facility 4 to Customer 2: 21
Facility 4 to Customer 3: 12
Facility 4 to Customer 4: 16
Facility 4 to Customer 5: 14
Facility 4 to Customer 6: 19
Facility 4 to Customer 7: 13
Facility 4 to Customer 8: 6
Facility 5 to Customer 0: 9
Facility 5 to Customer 1: 10
Facility 5 to Customer 2: 11
Facility 5 to Customer 3: 5
Facility 5 to Customer 4: 11
Facility 5 to Customer 5: 24
Facility 5 to Customer 6: 16
Facility 5 to Customer 7: 20
Facility 5 to Customer 8: 20
Facility 6 to Customer 0: 15
Facility 6 to Customer 1: 8
Facility 6 to Customer 2: 17
Facility 6 to Customer 3: 11
Facility 6 to Customer 4: 8
Facility 6 to Customer 5: 19
Facility 6 to Customer 6: 23
Facility 6 to Customer 7: 13
Facility 6 to Customer 8: 15
Facility 7 to Customer 0: 12
Facility 7 to Customer 1: 5
Facility 7 to Customer 2: 12
Facility 7 to Customer 3: 17
Facility 7 to Customer 4: 8
Facility 7 to Customer 5: 12
Facility 7 to Customer 6: 7
Facility 7 to Customer 7: 13
Facility 7 to Customer 8: 6
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 11
Facility 0 to Customer 1: 22
Facility 0 to Customer 2: 24
Facility 0 to Customer 3: 32
Facility 0 to Customer 4: 21
Facility 0 to Customer 5: 13
Facility 0 to Customer 6: 17
Facility 0 to Customer 7: 18
Facility 0 to Customer 8: 32
Facility 1 to Customer 0: 14
Facility 1 to Customer 1: 33
Facility 1 to Customer 2: 29
Facility 1 to Customer 3: 27
Facility 1 to Customer 4: 20
Facility 1 to Customer 5: 24
Facility 1 to Customer 6: 31
Facility 1 to Customer 7: 18
Facility 1 to Customer 8: 26
Facility 2 to Customer 0: 21
Facility 2 to Customer 1: 16
Facility 2 to Customer 2: 19
Facility 2 to Customer 3: 34
Facility 2 to Customer 4: 34
Facility 2 to Customer 5: 19
Facility 2 to Customer 6: 22
Facility 2 to Customer 7: 28
Facility 2 to Customer 8: 20
Facility 3 to Customer 0: 22
Facility 3 to Customer 1: 30
Facility 3 to Customer 2: 17
Facility 3 to Customer 3: 17
Facility 3 to Customer 4: 13
Facility 3 to Customer 5: 24
Facility 3 to Customer 6: 20
Facility 3 to Customer 7: 20
Facility 3 to Customer 8: 10
Facility 4 to Customer 0: 26
Facility 4 to Customer 1: 24
Facility 4 to Customer 2: 29
Facility 4 to Customer 3: 15
Facility 4 to Customer 4: 33
Facility 4 to Customer 5: 31
Facility 4 to Customer 6: 34
Facility 4 to Customer 7: 24
Facility 4 to Customer 8: 18
Facility 5 to Customer 0: 23
Facility 5 to Customer 1: 27
Facility 5 to Customer 2: 26
Facility 5 to Customer 3: 27
Facility 5 to Customer 4: 14
Facility 5 to Customer 5: 29
Facility 5 to Customer 6: 29
