Facility Location Problem Instance
Number of facilities: 6
Number of customers: 7
Grid size: 100x100
Facilities coordinates (x, y):
10, 11
26, 1
11, 21
26, 42
15, 17
10, 44
Customers coordinates (x, y):
6, 24
2, 30
14, 12
29, 22
19, 14
14, 1
42, 12
Distances between facilities and customers:
Facility 0 to Customer 0: 13.60
Facility 0 to Customer 1: 20.62
Facility 0 to Customer 2: 4.12
Facility 0 to Customer 3: 21.95
Facility 0 to Customer 4: 9.49
Facility 0 to Customer 5: 10.77
Facility 0 to Customer 6: 32.02
Facility 1 to Customer 0: 30.48
Facility 1 to Customer 1: 37.64
Facility 1 to Customer 2: 16.28
Facility 1 to Customer 3: 21.21
Facility 1 to Customer 4: 14.76
Facility 1 to Customer 5: 12.00
Facility 1 to Customer 6: 19.42
Facility 2 to Customer 0: 5.83
Facility 2 to Customer 1: 12.73
Facility 2 to Customer 2: 9.49
Facility 2 to Customer 3: 18.03
Facility 2 to Customer 4: 10.63
Facility 2 to Customer 5: 20.22
Facility 2 to Customer 6: 32.28
Facility 3 to Customer 0: 26.91
Facility 3 to Customer 1: 26.83
Facility 3 to Customer 2: 32.31
Facility 3 to Customer 3: 20.22
Facility 3 to Customer 4: 28.86
Facility 3 to Customer 5: 42.72
Facility 3 to Customer 6: 34.00
Facility 4 to Customer 0: 11.40
Facility 4 to Customer 1: 18.38
Facility 4 to Customer 2: 5.10
Facility 4 to Customer 3: 14.87
Facility 4 to Customer 4: 5.00
Facility 4 to Customer 5: 16.03
Facility 4 to Customer 6: 27.46
Facility 5 to Customer 0: 20.40
Facility 5 to Customer 1: 16.12
Facility 5 to Customer 2: 32.25
Facility 5 to Customer 3: 29.07
Facility 5 to Customer 4: 31.32
Facility 5 to Customer 5: 43.19
Facility 5 to Customer 6: 45.25
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 5
Facility 0 to Customer 1: 18
Facility 0 to Customer 2: 9
Facility 0 to Customer 3: 18
Facility 0 to Customer 4: 8
Facility 0 to Customer 5: 5
Facility 0 to Customer 6: 23
Facility 1 to Customer 0: 12
Facility 1 to Customer 1: 19
Facility 1 to Customer 2: 19
Facility 1 to Customer 3: 13
Facility 1 to Customer 4: 13
Facility 1 to Customer 5: 14
Facility 1 to Customer 6: 24
Facility 2 to Customer 0: 13
Facility 2 to Customer 1: 7
Facility 2 to Customer 2: 24
Facility 2 to Customer 3: 15
Facility 2 to Customer 4: 10
Facility 2 to Customer 5: 6
Facility 2 to Customer 6: 11
Facility 3 to Customer 0: 22
Facility 3 to Customer 1: 6
Facility 3 to Customer 2: 21
Facility 3 to Customer 3: 15
Facility 3 to Customer 4: 16
Facility 3 to Customer 5: 23
Facility 3 to Customer 6: 11
Facility 4 to Customer 0: 24
Facility 4 to Customer 1: 10
Facility 4 to Customer 2: 5
Facility 4 to Customer 3: 21
Facility 4 to Customer 4: 15
Facility 4 to Customer 5: 22
Facility 4 to Customer 6: 21
Facility 5 to Customer 0: 11
Facility 5 to Customer 1: 21
Facility 5 to Customer 2: 24
Facility 5 to Customer 3: 13
Facility 5 to Customer 4: 21
Facility 5 to Customer 5: 24
Facility 5 to Customer 6: 12
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 26
Facility 0 to Customer 1: 16
Facility 0 to Customer 2: 10
Facility 0 to Customer 3: 22
Facility 0 to Customer 4: 32
Facility 0 to Customer 5: 28
Facility 0 to Customer 6: 33
Facility 1 to Customer 0: 28
Facility 1 to Customer 1: 26
Facility 1 to Customer 2: 22
Facility 1 to Customer 3: 25
Facility 1 to Customer 4: 17
Facility 1 to Customer 5: 28
Facility 1 to Customer 6: 27
Facility 2 to Customer 0: 10
Facility 2 to Customer 1: 23
Facility 2 to Customer 2: 28
Facility 2 to Customer 3: 24
Facility 2 to Customer 4: 27
Facility 2 to Customer 5: 11
Facility 2 to Customer 6: 31
Facility 3 to Customer 0: 26
Facility 3 to Customer 1: 27
Facility 3 to Customer 2: 15
Facility 3 to Customer 3: 28
Facility 3 to Customer 4: 13
Facility 3 to Customer 5: 10
Facility 3 to Customer 6: 17
Facility 4 to Customer 0: 32
Facility 4 to Customer 1: 16
Facility 4 to Customer 2: 12
Facility 4 to Customer 3: 19
Facility 4 to Customer 4: 19
Facility 4 to Customer 5: 28
Facility 4 to Customer 6: 23
Facility 5 to Customer 0: 11
Facility 5 to Customer 1: 10
Facility 5 to Customer 2: 32
Facility 5 to Customer 3: 32
Facility 5 to Customer 4: 27
Facility 5 to Customer 5: 16
Facility 5 to Customer 6: 17
Facility capacities:
Facility 0: 5
Facility 1: 7
Facility 2: 12
Facility 3: 19
Facility 4: 9
Facility 5: 7
Small drone payload capacity: 11
Large drone payload capacity: 20
Small drone max range: 38
Large drone max range: 64
