Facility Location Problem Instance
Number of facilities: 6
Number of customers: 7
Grid size: 100x100
Facilities coordinates (x, y):
25, 10
29, 8
39, 34
1, 25
37, 36
42, 1
Customers coordinates (x, y):
5, 41
27, 8
29, 11
3, 16
24, 20
13, 29
20, 21
Distances between facilities and customers:
Facility 0 to Customer 0: 36.89
Facility 0 to Customer 1: 2.83
Facility 0 to Customer 2: 4.12
Facility 0 to Customer 3: 22.80
Facility 0 to Customer 4: 10.05
Facility 0 to Customer 5: 22.47
Facility 0 to Customer 6: 12.08
Facility 1 to Customer 0: 40.80
Facility 1 to Customer 1: 2.00
Facility 1 to Customer 2: 3.00
Facility 1 to Customer 3: 27.20
Facility 1 to Customer 4: 13.00
Facility 1 to Customer 5: 26.40
Facility 1 to Customer 6: 15.81
Facility 2 to Customer 0: 34.71
Facility 2 to Customer 1: 28.64
Facility 2 to Customer 2: 25.08
Facility 2 to Customer 3: 40.25
Facility 2 to Customer 4: 20.52
Facility 2 to Customer 5: 26.48
Facility 2 to Customer 6: 23.02
Facility 3 to Customer 0: 16.49
Facility 3 to Customer 1: 31.06
Facility 3 to Customer 2: 31.30
Facility 3 to Customer 3: 9.22
Facility 3 to Customer 4: 23.54
Facility 3 to Customer 5: 12.65
Facility 3 to Customer 6: 19.42
Facility 4 to Customer 0: 32.39
Facility 4 to Customer 1: 29.73
Facility 4 to Customer 2: 26.25
Facility 4 to Customer 3: 39.45
Facility 4 to Customer 4: 20.62
Facility 4 to Customer 5: 25.00
Facility 4 to Customer 6: 22.67
Facility 5 to Customer 0: 54.49
Facility 5 to Customer 1: 16.55
Facility 5 to Customer 2: 16.40
Facility 5 to Customer 3: 41.79
Facility 5 to Customer 4: 26.17
Facility 5 to Customer 5: 40.31
Facility 5 to Customer 6: 29.73
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 8
Facility 0 to Customer 1: 16
Facility 0 to Customer 2: 24
Facility 0 to Customer 3: 22
Facility 0 to Customer 4: 21
Facility 0 to Customer 5: 23
Facility 0 to Customer 6: 13
Facility 1 to Customer 0: 8
Facility 1 to Customer 1: 6
Facility 1 to Customer 2: 8
Facility 1 to Customer 3: 6
Facility 1 to Customer 4: 19
Facility 1 to Customer 5: 6
Facility 1 to Customer 6: 8
Facility 2 to Customer 0: 10
Facility 2 to Customer 1: 11
Facility 2 to Customer 2: 14
Facility 2 to Customer 3: 23
Facility 2 to Customer 4: 23
Facility 2 to Customer 5: 16
Facility 2 to Customer 6: 7
Facility 3 to Customer 0: 17
Facility 3 to Customer 1: 22
Facility 3 to Customer 2: 12
Facility 3 to Customer 3: 19
Facility 3 to Customer 4: 5
Facility 3 to Customer 5: 7
Facility 3 to Customer 6: 12
Facility 4 to Customer 0: 8
Facility 4 to Customer 1: 20
Facility 4 to Customer 2: 14
Facility 4 to Customer 3: 16
Facility 4 to Customer 4: 18
Facility 4 to Customer 5: 18
Facility 4 to Customer 6: 6
Facility 5 to Customer 0: 9
Facility 5 to Customer 1: 9
Facility 5 to Customer 2: 10
Facility 5 to Customer 3: 17
Facility 5 to Customer 4: 13
Facility 5 to Customer 5: 19
Facility 5 to Customer 6: 18
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 33
Facility 0 to Customer 1: 16
Facility 0 to Customer 2: 34
Facility 0 to Customer 3: 29
Facility 0 to Customer 4: 11
Facility 0 to Customer 5: 16
Facility 0 to Customer 6: 15
Facility 1 to Customer 0: 26
Facility 1 to Customer 1: 34
Facility 1 to Customer 2: 34
Facility 1 to Customer 3: 11
Facility 1 to Customer 4: 12
Facility 1 to Customer 5: 14
Facility 1 to Customer 6: 14
Facility 2 to Customer 0: 10
Facility 2 to Customer 1: 17
Facility 2 to Customer 2: 21
Facility 2 to Customer 3: 33
Facility 2 to Customer 4: 13
Facility 2 to Customer 5: 22
Facility 2 to Customer 6: 32
Facility 3 to Customer 0: 24
Facility 3 to Customer 1: 20
Facility 3 to Customer 2: 19
Facility 3 to Customer 3: 12
Facility 3 to Customer 4: 31
Facility 3 to Customer 5: 23
Facility 3 to Customer 6: 25
Facility 4 to Customer 0: 19
Facility 4 to Customer 1: 19
Facility 4 to Customer 2: 21
Facility 4 to Customer 3: 18
Facility 4 to Customer 4: 10
Facility 4 to Customer 5: 14
Facility 4 to Customer 6: 29
Facility 5 to Customer 0: 17
Facility 5 to Customer 1: 20
Facility 5 to Customer 2: 21
Facility 5 to Customer 3: 10
Facility 5 to Customer 4: 34
Facility 5 to Customer 5: 31
Facility 5 to Customer 6: 29
Facility capacities:
Facility 0: 15
Facility 1: 9
Facility 2: 19
Facility 3: 9
Facility 4: 16
Facility 5: 9
Small drone payload capacity: 17
Large drone payload capacity: 22
Small drone max range: 38
Large drone max range: 86
