Facility Location Problem Instance
Number of facilities: 7
Number of customers: 8
Grid size: 100x100
Facilities coordinates (x, y):
16, 14
7, 46
12, 20
7, 47
34, 48
44, 11
12, 13
Customers coordinates (x, y):
47, 30
17, 46
37, 48
33, 38
18, 6
12, 18
14, 23
11, 19
Distances between facilities and customers:
Facility 0 to Customer 0: 34.89
Facility 0 to Customer 1: 32.02
Facility 0 to Customer 2: 39.96
Facility 0 to Customer 3: 29.41
Facility 0 to Customer 4: 8.25
Facility 0 to Customer 5: 5.66
Facility 0 to Customer 6: 9.22
Facility 0 to Customer 7: 7.07
Facility 1 to Customer 0: 43.08
Facility 1 to Customer 1: 10.00
Facility 1 to Customer 2: 30.07
Facility 1 to Customer 3: 27.20
Facility 1 to Customer 4: 41.48
Facility 1 to Customer 5: 28.44
Facility 1 to Customer 6: 24.04
Facility 1 to Customer 7: 27.29
Facility 2 to Customer 0: 36.40
Facility 2 to Customer 1: 26.48
Facility 2 to Customer 2: 37.54
Facility 2 to Customer 3: 27.66
Facility 2 to Customer 4: 15.23
Facility 2 to Customer 5: 2.00
Facility 2 to Customer 6: 3.61
Facility 2 to Customer 7: 1.41
Facility 3 to Customer 0: 43.46
Facility 3 to Customer 1: 10.05
Facility 3 to Customer 2: 30.02
Facility 3 to Customer 3: 27.51
Facility 3 to Customer 4: 42.45
Facility 3 to Customer 5: 29.43
Facility 3 to Customer 6: 25.00
Facility 3 to Customer 7: 28.28
Facility 4 to Customer 0: 22.20
Facility 4 to Customer 1: 17.12
Facility 4 to Customer 2: 3.00
Facility 4 to Customer 3: 10.05
Facility 4 to Customer 4: 44.94
Facility 4 to Customer 5: 37.20
Facility 4 to Customer 6: 32.02
Facility 4 to Customer 7: 37.01
Facility 5 to Customer 0: 19.24
Facility 5 to Customer 1: 44.20
Facility 5 to Customer 2: 37.66
Facility 5 to Customer 3: 29.15
Facility 5 to Customer 4: 26.48
Facility 5 to Customer 5: 32.76
Facility 5 to Customer 6: 32.31
Facility 5 to Customer 7: 33.96
Facility 6 to Customer 0: 38.91
Facility 6 to Customer 1: 33.38
Facility 6 to Customer 2: 43.01
Facility 6 to Customer 3: 32.65
Facility 6 to Customer 4: 9.22
Facility 6 to Customer 5: 5.00
Facility 6 to Customer 6: 10.20
Facility 6 to Customer 7: 6.08
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 23
Facility 0 to Customer 1: 23
Facility 0 to Customer 2: 15
Facility 0 to Customer 3: 9
Facility 0 to Customer 4: 9
Facility 0 to Customer 5: 12
Facility 0 to Customer 6: 14
Facility 0 to Customer 7: 10
Facility 1 to Customer 0: 19
Facility 1 to Customer 1: 20
Facility 1 to Customer 2: 21
Facility 1 to Customer 3: 12
Facility 1 to Customer 4: 12
Facility 1 to Customer 5: 13
Facility 1 to Customer 6: 6
Facility 1 to Customer 7: 19
Facility 2 to Customer 0: 22
