Facility Location Problem Instance
Number of facilities: 6
Number of customers: 7
Grid size: 100x100
Facilities coordinates (x, y):
26, 3
13, 26
24, 37
44, 1
36, 24
30, 0
Customers coordinates (x, y):
22, 19
24, 26
34, 34
38, 14
31, 14
17, 27
31, 1
Distances between facilities and customers:
Facility 0 to Customer 0: 16.49
Facility 0 to Customer 1: 23.09
Facility 0 to Customer 2: 32.02
Facility 0 to Customer 3: 16.28
Facility 0 to Customer 4: 12.08
Facility 0 to Customer 5: 25.63
Facility 0 to Customer 6: 5.39
Facility 1 to Customer 0: 11.40
Facility 1 to Customer 1: 11.00
Facility 1 to Customer 2: 22.47
Facility 1 to Customer 3: 27.73
Facility 1 to Customer 4: 21.63
Facility 1 to Customer 5: 4.12
Facility 1 to Customer 6: 30.81
Facility 2 to Customer 0: 18.11
Facility 2 to Customer 1: 11.00
Facility 2 to Customer 2: 10.44
Facility 2 to Customer 3: 26.93
Facility 2 to Customer 4: 24.04
Facility 2 to Customer 5: 12.21
Facility 2 to Customer 6: 36.67
Facility 3 to Customer 0: 28.43
Facility 3 to Customer 1: 32.02
Facility 3 to Customer 2: 34.48
Facility 3 to Customer 3: 14.32
Facility 3 to Customer 4: 18.38
Facility 3 to Customer 5: 37.48
Facility 3 to Customer 6: 13.00
Facility 4 to Customer 0: 14.87
Facility 4 to Customer 1: 12.17
Facility 4 to Customer 2: 10.20
Facility 4 to Customer 3: 10.20
Facility 4 to Customer 4: 11.18
Facility 4 to Customer 5: 19.24
Facility 4 to Customer 6: 23.54
Facility 5 to Customer 0: 20.62
Facility 5 to Customer 1: 26.68
Facility 5 to Customer 2: 34.23
Facility 5 to Customer 3: 16.12
Facility 5 to Customer 4: 14.04
Facility 5 to Customer 5: 29.97
Facility 5 to Customer 6: 1.41
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 14
Facility 0 to Customer 1: 12
Facility 0 to Customer 2: 22
Facility 0 to Customer 3: 5
Facility 0 to Customer 4: 6
Facility 0 to Customer 5: 5
Facility 0 to Customer 6: 5
Facility 1 to Customer 0: 13
Facility 1 to Customer 1: 17
Facility 1 to Customer 2: 5
Facility 1 to Customer 3: 17
Facility 1 to Customer 4: 24
Facility 1 to Customer 5: 11
Facility 1 to Customer 6: 6
Facility 2 to Customer 0: 10
Facility 2 to Customer 1: 11
Facility 2 to Customer 2: 18
Facility 2 to Customer 3: 22
Facility 2 to Customer 4: 19
Facility 2 to Customer 5: 6
Facility 2 to Customer 6: 14
Facility 3 to Customer 0: 16
Facility 3 to Customer 1: 21
Facility 3 to Customer 2: 12
Facility 3 to Customer 3: 15
Facility 3 to Customer 4: 7
Facility 3 to Customer 5: 10
Facility 3 to Customer 6: 13
Facility 4 to Customer 0: 10
Facility 4 to Customer 1: 13
Facility 4 to Customer 2: 11
Facility 4 to Customer 3: 13
Facility 4 to Customer 4: 22
Facility 4 to Customer 5: 16
Facility 4 to Customer 6: 12
Facility 5 to Customer 0: 12
Facility 5 to Customer 1: 22
Facility 5 to Customer 2: 24
Facility 5 to Customer 3: 19
Facility 5 to Customer 4: 11
Facility 5 to Customer 5: 15
Facility 5 to Customer 6: 24
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 25
Facility 0 to Customer 1: 13
Facility 0 to Customer 2: 15
Facility 0 to Customer 3: 31
Facility 0 to Customer 4: 12
Facility 0 to Customer 5: 18
Facility 0 to Customer 6: 19
Facility 1 to Customer 0: 23
Facility 1 to Customer 1: 20
Facility 1 to Customer 2: 27
Facility 1 to Customer 3: 31
Facility 1 to Customer 4: 21
Facility 1 to Customer 5: 32
Facility 1 to Customer 6: 21
Facility 2 to Customer 0: 22
Facility 2 to Customer 1: 34
Facility 2 to Customer 2: 22
Facility 2 to Customer 3: 28
Facility 2 to Customer 4: 28
Facility 2 to Customer 5: 32
Facility 2 to Customer 6: 23
Facility 3 to Customer 0: 13
Facility 3 to Customer 1: 22
Facility 3 to Customer 2: 17
Facility 3 to Customer 3: 32
Facility 3 to Customer 4: 30
Facility 3 to Customer 5: 32
Facility 3 to Customer 6: 28
Facility 4 to Customer 0: 21
Facility 4 to Customer 1: 27
Facility 4 to Customer 2: 15
Facility 4 to Customer 3: 27
Facility 4 to Customer 4: 28
Facility 4 to Customer 5: 31
Facility 4 to Customer 6: 14
Facility 5 to Customer 0: 33
Facility 5 to Customer 1: 18
Facility 5 to Customer 2: 12
Facility 5 to Customer 3: 19
Facility 5 to Customer 4: 28
Facility 5 to Customer 5: 12
Facility 5 to Customer 6: 31
Facility capacities:
Facility 0: 19
Facility 1: 5
Facility 2: 11
Facility 3: 16
Facility 4: 21
Facility 5: 9
Small drone payload capacity: 11
Large drone payload capacity: 20
Small drone max range: 51
Large drone max range: 103
