Facility Location Problem Instance
Number of facilities: 7
Number of customers: 8
Grid size: 100x100
Facilities coordinates (x, y):
37, 1
48, 43
17, 36
2, 48
48, 11
30, 33
41, 28
Customers coordinates (x, y):
17, 11
37, 27
40, 31
5, 30
22, 26
21, 20
42, 6
10, 21
Distances between facilities and customers:
Facility 0 to Customer 0: 22.36
Facility 0 to Customer 1: 26.00
Facility 0 to Customer 2: 30.15
Facility 0 to Customer 3: 43.19
Facility 0 to Customer 4: 29.15
Facility 0 to Customer 5: 24.84
Facility 0 to Customer 6: 7.07
Facility 0 to Customer 7: 33.60
Facility 1 to Customer 0: 44.55
Facility 1 to Customer 1: 19.42
Facility 1 to Customer 2: 14.42
Facility 1 to Customer 3: 44.92
Facility 1 to Customer 4: 31.06
Facility 1 to Customer 5: 35.47
Facility 1 to Customer 6: 37.48
Facility 1 to Customer 7: 43.91
Facility 2 to Customer 0: 25.00
Facility 2 to Customer 1: 21.93
Facility 2 to Customer 2: 23.54
Facility 2 to Customer 3: 13.42
Facility 2 to Customer 4: 11.18
Facility 2 to Customer 5: 16.49
Facility 2 to Customer 6: 39.05
Facility 2 to Customer 7: 16.55
Facility 3 to Customer 0: 39.92
Facility 3 to Customer 1: 40.82
Facility 3 to Customer 2: 41.63
Facility 3 to Customer 3: 18.25
Facility 3 to Customer 4: 29.73
Facility 3 to Customer 5: 33.84
Facility 3 to Customer 6: 58.00
Facility 3 to Customer 7: 28.16
Facility 4 to Customer 0: 31.00
Facility 4 to Customer 1: 19.42
Facility 4 to Customer 2: 21.54
Facility 4 to Customer 3: 47.01
Facility 4 to Customer 4: 30.02
Facility 4 to Customer 5: 28.46
Facility 4 to Customer 6: 7.81
Facility 4 to Customer 7: 39.29
Facility 5 to Customer 0: 25.55
Facility 5 to Customer 1: 9.22
Facility 5 to Customer 2: 10.20
Facility 5 to Customer 3: 25.18
Facility 5 to Customer 4: 10.63
Facility 5 to Customer 5: 15.81
Facility 5 to Customer 6: 29.55
Facility 5 to Customer 7: 23.32
Facility 6 to Customer 0: 29.41
Facility 6 to Customer 1: 4.12
Facility 6 to Customer 2: 3.16
Facility 6 to Customer 3: 36.06
Facility 6 to Customer 4: 19.10
Facility 6 to Customer 5: 21.54
Facility 6 to Customer 6: 22.02
Facility 6 to Customer 7: 31.78
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 21
Facility 0 to Customer 1: 6
Facility 0 to Customer 2: 5
Facility 0 to Customer 3: 12
Facility 0 to Customer 4: 17
Facility 0 to Customer 5: 19
Facility 0 to Customer 6: 12
Facility 0 to Customer 7: 16
Facility 1 to Customer 0: 16
Facility 1 to Customer 1: 18
Facility 1 to Customer 2: 19
Facility 1 to Customer 3: 19
Facility 1 to Customer 4: 13
Facility 1 to Customer 5: 23
Facility 1 to Customer 6: 24
Facility 1 to Customer 7: 12
Facility 2 to Customer 0: 23
Facility 2 to Customer 1: 10
Facility 2 to Customer 2: 24
Facility 2 to Customer 3: 23
Facility 2 to Customer 4: 8
Facility 2 to Customer 5: 11
Facility 2 to Customer 6: 8
Facility 2 to Customer 7: 16
Facility 3 to Customer 0: 17
Facility 3 to Customer 1: 7
Facility 3 to Customer 2: 16
Facility 3 to Customer 3: 6
Facility 3 to Customer 4: 6
Facility 3 to Customer 5: 13
Facility 3 to Customer 6: 5
Facility 3 to Customer 7: 12
Facility 4 to Customer 0: 10
Facility 4 to Customer 1: 10
Facility 4 to Customer 2: 22
Facility 4 to Customer 3: 21
Facility 4 to Customer 4: 16
Facility 4 to Customer 5: 10
Facility 4 to Customer 6: 12
Facility 4 to Customer 7: 23
Facility 5 to Customer 0: 14
Facility 5 to Customer 1: 5
Facility 5 to Customer 2: 17
Facility 5 to Customer 3: 21
Facility 5 to Customer 4: 7
Facility 5 to Customer 5: 12
Facility 5 to Customer 6: 18
Facility 5 to Customer 7: 7
Facility 6 to Customer 0: 20
Facility 6 to Customer 1: 17
Facility 6 to Customer 2: 24
Facility 6 to Customer 3: 21
Facility 6 to Customer 4: 17
Facility 6 to Customer 5: 10
Facility 6 to Customer 6: 21
Facility 6 to Customer 7: 18
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 26
Facility 0 to Customer 1: 17
Facility 0 to Customer 2: 20
Facility 0 to Customer 3: 29
Facility 0 to Customer 4: 10
Facility 0 to Customer 5: 16
Facility 0 to Customer 6: 30
Facility 0 to Customer 7: 30
Facility 1 to Customer 0: 26
Facility 1 to Customer 1: 19
Facility 1 to Customer 2: 20
Facility 1 to Customer 3: 31
Facility 1 to Customer 4: 18
Facility 1 to Customer 5: 18
Facility 1 to Customer 6: 33
Facility 1 to Customer 7: 14
Facility 2 to Customer 0: 26
Facility 2 to Customer 1: 18
Facility 2 to Customer 2: 26
Facility 2 to Customer 3: 33
Facility 2 to Customer 4: 30
Facility 2 to Customer 5: 28
Facility 2 to Customer 6: 16
Facility 2 to Customer 7: 32
Facility 3 to Customer 0: 18
