Facility Location Problem Instance
Number of facilities: 6
Number of customers: 7
Grid size: 100x100
Facilities coordinates (x, y):
40, 39
21, 5
15, 43
19, 14
12, 9
1, 2
Customers coordinates (x, y):
15, 30
39, 4
29, 26
40, 36
12, 44
24, 31
25, 15
Distances between facilities and customers:
Facility 0 to Customer 0: 26.57
Facility 0 to Customer 1: 35.01
Facility 0 to Customer 2: 17.03
Facility 0 to Customer 3: 3.00
Facility 0 to Customer 4: 28.44
Facility 0 to Customer 5: 17.89
Facility 0 to Customer 6: 28.30
Facility 1 to Customer 0: 25.71
Facility 1 to Customer 1: 18.03
Facility 1 to Customer 2: 22.47
Facility 1 to Customer 3: 36.36
Facility 1 to Customer 4: 40.02
Facility 1 to Customer 5: 26.17
Facility 1 to Customer 6: 10.77
Facility 2 to Customer 0: 13.00
Facility 2 to Customer 1: 45.79
Facility 2 to Customer 2: 22.02
Facility 2 to Customer 3: 25.96
Facility 2 to Customer 4: 3.16
Facility 2 to Customer 5: 15.00
Facility 2 to Customer 6: 29.73
Facility 3 to Customer 0: 16.49
Facility 3 to Customer 1: 22.36
Facility 3 to Customer 2: 15.62
Facility 3 to Customer 3: 30.41
Facility 3 to Customer 4: 30.81
Facility 3 to Customer 5: 17.72
Facility 3 to Customer 6: 6.08
Facility 4 to Customer 0: 21.21
Facility 4 to Customer 1: 27.46
Facility 4 to Customer 2: 24.04
Facility 4 to Customer 3: 38.90
Facility 4 to Customer 4: 35.00
Facility 4 to Customer 5: 25.06
Facility 4 to Customer 6: 14.32
Facility 5 to Customer 0: 31.30
Facility 5 to Customer 1: 38.05
Facility 5 to Customer 2: 36.88
Facility 5 to Customer 3: 51.74
Facility 5 to Customer 4: 43.42
Facility 5 to Customer 5: 37.01
Facility 5 to Customer 6: 27.29
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 9
Facility 0 to Customer 1: 15
Facility 0 to Customer 2: 10
Facility 0 to Customer 3: 11
Facility 0 to Customer 4: 18
Facility 0 to Customer 5: 15
Facility 0 to Customer 6: 17
Facility 1 to Customer 0: 6
Facility 1 to Customer 1: 11
Facility 1 to Customer 2: 24
Facility 1 to Customer 3: 8
Facility 1 to Customer 4: 12
Facility 1 to Customer 5: 24
Facility 1 to Customer 6: 23
Facility 2 to Customer 0: 17
Facility 2 to Customer 1: 18
Facility 2 to Customer 2: 14
Facility 2 to Customer 3: 15
Facility 2 to Customer 4: 6
Facility 2 to Customer 5: 13
Facility 2 to Customer 6: 21
Facility 3 to Customer 0: 7
Facility 3 to Customer 1: 10
Facility 3 to Customer 2: 9
Facility 3 to Customer 3: 9
Facility 3 to Customer 4: 19
Facility 3 to Customer 5: 21
Facility 3 to Customer 6: 13
Facility 4 to Customer 0: 7
Facility 4 to Customer 1: 24
Facility 4 to Customer 2: 21
Facility 4 to Customer 3: 14
Facility 4 to Customer 4: 7
Facility 4 to Customer 5: 22
Facility 4 to Customer 6: 22
Facility 5 to Customer 0: 21
Facility 5 to Customer 1: 7
Facility 5 to Customer 2: 7
Facility 5 to Customer 3: 10
Facility 5 to Customer 4: 17
Facility 5 to Customer 5: 19
Facility 5 to Customer 6: 13
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 13
Facility 0 to Customer 1: 23
Facility 0 to Customer 2: 14
Facility 0 to Customer 3: 11
Facility 0 to Customer 4: 20
Facility 0 to Customer 5: 18
Facility 0 to Customer 6: 33
Facility 1 to Customer 0: 12
Facility 1 to Customer 1: 18
Facility 1 to Customer 2: 12
Facility 1 to Customer 3: 34
Facility 1 to Customer 4: 11
Facility 1 to Customer 5: 21
Facility 1 to Customer 6: 19
Facility 2 to Customer 0: 18
Facility 2 to Customer 1: 24
Facility 2 to Customer 2: 17
Facility 2 to Customer 3: 34
Facility 2 to Customer 4: 14
Facility 2 to Customer 5: 20
Facility 2 to Customer 6: 11
Facility 3 to Customer 0: 33
Facility 3 to Customer 1: 24
Facility 3 to Customer 2: 15
Facility 3 to Customer 3: 17
Facility 3 to Customer 4: 14
Facility 3 to Customer 5: 25
Facility 3 to Customer 6: 27
Facility 4 to Customer 0: 15
Facility 4 to Customer 1: 14
Facility 4 to Customer 2: 25
Facility 4 to Customer 3: 22
Facility 4 to Customer 4: 14
Facility 4 to Customer 5: 22
Facility 4 to Customer 6: 26
Facility 5 to Customer 0: 27
Facility 5 to Customer 1: 17
Facility 5 to Customer 2: 22
Facility 5 to Customer 3: 28
Facility 5 to Customer 4: 12
Facility 5 to Customer 5: 33
Facility 5 to Customer 6: 17
Facility capacities:
Facility 0: 6
Facility 1: 12
Facility 2: 17
Facility 3: 17
Facility 4: 5
Facility 5: 10
Small drone payload capacity: 7
Large drone payload capacity: 30
Small drone max range: 52
Large drone max range: 60
