Facility Location Problem Instance
Number of facilities: 7
Number of customers: 8
Grid size: 100x100
Facilities coordinates (x, y):
20, 15
5, 17
28, 15
48, 29
36, 39
42, 24
21, 1
Customers coordinates (x, y):
31, 20
11, 31
13, 22
16, 21
17, 38
44, 17
35, 0
33, 12
Distances between facilities and customers:
Facility 0 to Customer 0: 12.08
Facility 0 to Customer 1: 18.36
Facility 0 to Customer 2: 9.90
Facility 0 to Customer 3: 7.21
Facility 0 to Customer 4: 23.19
Facility 0 to Customer 5: 24.08
Facility 0 to Customer 6: 21.21
Facility 0 to Customer 7: 13.34
Facility 1 to Customer 0: 26.17
Facility 1 to Customer 1: 15.23
Facility 1 to Customer 2: 9.43
Facility 1 to Customer 3: 11.70
Facility 1 to Customer 4: 24.19
Facility 1 to Customer 5: 39.00
Facility 1 to Customer 6: 34.48
Facility 1 to Customer 7: 28.44
Facility 2 to Customer 0: 5.83
Facility 2 to Customer 1: 23.35
Facility 2 to Customer 2: 16.55
Facility 2 to Customer 3: 13.42
Facility 2 to Customer 4: 25.50
Facility 2 to Customer 5: 16.12
Facility 2 to Customer 6: 16.55
Facility 2 to Customer 7: 5.83
Facility 3 to Customer 0: 19.24
Facility 3 to Customer 1: 37.05
Facility 3 to Customer 2: 35.69
Facility 3 to Customer 3: 32.98
Facility 3 to Customer 4: 32.28
Facility 3 to Customer 5: 12.65
Facility 3 to Customer 6: 31.78
Facility 3 to Customer 7: 22.67
Facility 4 to Customer 0: 19.65
Facility 4 to Customer 1: 26.25
Facility 4 to Customer 2: 28.60
Facility 4 to Customer 3: 26.91
Facility 4 to Customer 4: 19.03
Facility 4 to Customer 5: 23.41
Facility 4 to Customer 6: 39.01
Facility 4 to Customer 7: 27.17
Facility 5 to Customer 0: 11.70
Facility 5 to Customer 1: 31.78
Facility 5 to Customer 2: 29.07
Facility 5 to Customer 3: 26.17
Facility 5 to Customer 4: 28.65
Facility 5 to Customer 5: 7.28
Facility 5 to Customer 6: 25.00
Facility 5 to Customer 7: 15.00
Facility 6 to Customer 0: 21.47
Facility 6 to Customer 1: 31.62
Facility 6 to Customer 2: 22.47
Facility 6 to Customer 3: 20.62
Facility 6 to Customer 4: 37.22
Facility 6 to Customer 5: 28.02
Facility 6 to Customer 6: 14.04
Facility 6 to Customer 7: 16.28
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 20
Facility 0 to Customer 1: 17
Facility 0 to Customer 2: 23
Facility 0 to Customer 3: 12
Facility 0 to Customer 4: 9
Facility 0 to Customer 5: 24
Facility 0 to Customer 6: 12
Facility 0 to Customer 7: 16
Facility 1 to Customer 0: 5
Facility 1 to Customer 1: 24
Facility 1 to Customer 2: 10
Facility 1 to Customer 3: 22
Facility 1 to Customer 4: 12
Facility 1 to Customer 5: 11
Facility 1 to Customer 6: 5
Facility 1 to Customer 7: 20
Facility 2 to Customer 0: 16
Facility 2 to Customer 1: 10
Facility 2 to Customer 2: 24
Facility 2 to Customer 3: 6
Facility 2 to Customer 4: 18
Facility 2 to Customer 5: 8
Facility 2 to Customer 6: 5
Facility 2 to Customer 7: 22
Facility 3 to Customer 0: 17
Facility 3 to Customer 1: 6
Facility 3 to Customer 2: 13
Facility 3 to Customer 3: 6
Facility 3 to Customer 4: 13
Facility 3 to Customer 5: 5
Facility 3 to Customer 6: 15
Facility 3 to Customer 7: 7
Facility 4 to Customer 0: 24
Facility 4 to Customer 1: 8
Facility 4 to Customer 2: 22
Facility 4 to Customer 3: 10
Facility 4 to Customer 4: 7
Facility 4 to Customer 5: 15
Facility 4 to Customer 6: 19
Facility 4 to Customer 7: 9
Facility 5 to Customer 0: 24
Facility 5 to Customer 1: 14
Facility 5 to Customer 2: 16
Facility 5 to Customer 3: 19
Facility 5 to Customer 4: 21
Facility 5 to Customer 5: 14
Facility 5 to Customer 6: 10
Facility 5 to Customer 7: 22
Facility 6 to Customer 0: 17
Facility 6 to Customer 1: 7
Facility 6 to Customer 2: 14
Facility 6 to Customer 3: 18
Facility 6 to Customer 4: 10
Facility 6 to Customer 5: 7
Facility 6 to Customer 6: 20
Facility 6 to Customer 7: 11
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 29
Facility 0 to Customer 1: 23
Facility 0 to Customer 2: 18
Facility 0 to Customer 3: 24
Facility 0 to Customer 4: 30
Facility 0 to Customer 5: 12
Facility 0 to Customer 6: 11
Facility 0 to Customer 7: 11
Facility 1 to Customer 0: 12
Facility 1 to Customer 1: 27
Facility 1 to Customer 2: 23
Facility 1 to Customer 3: 29
Facility 1 to Customer 4: 27
Facility 1 to Customer 5: 19
Facility 1 to Customer 6: 34
Facility 1 to Customer 7: 11
Facility 2 to Customer 0: 34
Facility 2 to Customer 1: 31
Facility 2 to Customer 2: 10
Facility 2 to Customer 3: 13
Facility 2 to Customer 4: 23
Facility 2 to Customer 5: 10
Facility 2 to Customer 6: 23
Facility 2 to Customer 7: 25
Facility 3 to Customer 0: 31
Facility 3 to Customer 1: 23
Facility 3 to Customer 2: 29
Facility 3 to Customer 3: 12
Facility 3 to Customer 4: 12
Facility 3 to Customer 5: 18
Facility 3 to Customer 6: 15
Facility 3 to Customer 7: 34
Facility 4 to Customer 0: 22
Facility 4 to Customer 1: 30
Facility 4 to Customer 2: 11
Facility 4 to Customer 3: 17
Facility 4 to Customer 4: 30
Facility 4 to Customer 5: 11
Facility 4 to Customer 6: 13
Facility 4 to Customer 7: 34
Facility 5 to Customer 0: 24
Facility 5 to Customer 1: 13
Facility 5 to Customer 2: 22
Facility 5 to Customer 3: 21
Facility 5 to Customer 4: 22
Facility 5 to Customer 5: 23
Facility 5 to Customer 6: 29
Facility 5 to Customer 7: 27
Facility 6 to Customer 0: 15
Facility 6 to Customer 1: 20
Facility 6 to Customer 2: 11
Facility 6 to Customer 3: 32
Facility 6 to Customer 4: 28
Facility 6 to Customer 5: 28
Facility 6 to Customer 6: 14
Facility 6 to Customer 7: 28
Facility capacities:
Facility 0: 6
Facility 1: 14
Facility 2: 6
Facility 3: 15
Facility 4: 22
Facility 5: 19
Facility 6: 13
Small drone payload capacity: 6
Large drone payload capacity: 17
Small drone max range: 53
Large drone max range: 86
