Facility Location Problem Instance
Number of facilities: 7
Number of customers: 8
Grid size: 100x100
Facilities coordinates (x, y):
19, 5
15, 7
35, 48
26, 38
38, 39
14, 49
33, 24
Customers coordinates (x, y):
28, 28
19, 37
27, 19
36, 39
3, 39
47, 6
48, 13
40, 13
Distances between facilities and customers:
Facility 0 to Customer 0: 24.70
Facility 0 to Customer 1: 32.00
Facility 0 to Customer 2: 16.12
Facility 0 to Customer 3: 38.01
Facility 0 to Customer 4: 37.58
Facility 0 to Customer 5: 28.02
Facility 0 to Customer 6: 30.08
Facility 0 to Customer 7: 22.47
Facility 1 to Customer 0: 24.70
Facility 1 to Customer 1: 30.27
Facility 1 to Customer 2: 16.97
Facility 1 to Customer 3: 38.28
Facility 1 to Customer 4: 34.18
Facility 1 to Customer 5: 32.02
Facility 1 to Customer 6: 33.54
Facility 1 to Customer 7: 25.71
Facility 2 to Customer 0: 21.19
Facility 2 to Customer 1: 19.42
Facility 2 to Customer 2: 30.08
Facility 2 to Customer 3: 9.06
Facility 2 to Customer 4: 33.24
Facility 2 to Customer 5: 43.68
Facility 2 to Customer 6: 37.34
Facility 2 to Customer 7: 35.36
Facility 3 to Customer 0: 10.20
Facility 3 to Customer 1: 7.07
Facility 3 to Customer 2: 19.03
Facility 3 to Customer 3: 10.05
Facility 3 to Customer 4: 23.02
Facility 3 to Customer 5: 38.28
Facility 3 to Customer 6: 33.30
Facility 3 to Customer 7: 28.65
Facility 4 to Customer 0: 14.87
Facility 4 to Customer 1: 19.10
Facility 4 to Customer 2: 22.83
Facility 4 to Customer 3: 2.00
Facility 4 to Customer 4: 35.00
Facility 4 to Customer 5: 34.21
Facility 4 to Customer 6: 27.86
Facility 4 to Customer 7: 26.08
Facility 5 to Customer 0: 25.24
Facility 5 to Customer 1: 13.00
Facility 5 to Customer 2: 32.70
Facility 5 to Customer 3: 24.17
Facility 5 to Customer 4: 14.87
Facility 5 to Customer 5: 54.20
Facility 5 to Customer 6: 49.52
Facility 5 to Customer 7: 44.41
Facility 6 to Customer 0: 6.40
Facility 6 to Customer 1: 19.10
Facility 6 to Customer 2: 7.81
Facility 6 to Customer 3: 15.30
Facility 6 to Customer 4: 33.54
Facility 6 to Customer 5: 22.80
Facility 6 to Customer 6: 18.60
Facility 6 to Customer 7: 13.04
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 22
Facility 0 to Customer 1: 7
Facility 0 to Customer 2: 5
Facility 0 to Customer 3: 8
Facility 0 to Customer 4: 10
Facility 0 to Customer 5: 13
Facility 0 to Customer 6: 18
Facility 0 to Customer 7: 16
Facility 1 to Customer 0: 24
Facility 1 to Customer 1: 8
Facility 1 to Customer 2: 16
Facility 1 to Customer 3: 14
Facility 1 to Customer 4: 11
Facility 1 to Customer 5: 7
Facility 1 to Customer 6: 18
Facility 1 to Customer 7: 14
Facility 2 to Customer 0: 20
Facility 2 to Customer 1: 20
Facility 2 to Customer 2: 14
Facility 2 to Customer 3: 17
Facility 2 to Customer 4: 10
Facility 2 to Customer 5: 16
Facility 2 to Customer 6: 13
Facility 2 to Customer 7: 17
Facility 3 to Customer 0: 8
Facility 3 to Customer 1: 15
Facility 3 to Customer 2: 24
Facility 3 to Customer 3: 22
Facility 3 to Customer 4: 15
Facility 3 to Customer 5: 8
Facility 3 to Customer 6: 22
Facility 3 to Customer 7: 5
Facility 4 to Customer 0: 11
Facility 4 to Customer 1: 10
Facility 4 to Customer 2: 19
Facility 4 to Customer 3: 22
Facility 4 to Customer 4: 15
Facility 4 to Customer 5: 24
Facility 4 to Customer 6: 19
Facility 4 to Customer 7: 20
Facility 5 to Customer 0: 11
Facility 5 to Customer 1: 14
Facility 5 to Customer 2: 16
Facility 5 to Customer 3: 18
Facility 5 to Customer 4: 9
Facility 5 to Customer 5: 22
Facility 5 to Customer 6: 9
Facility 5 to Customer 7: 7
Facility 6 to Customer 0: 9
Facility 6 to Customer 1: 21
Facility 6 to Customer 2: 23
Facility 6 to Customer 3: 23
Facility 6 to Customer 4: 16
Facility 6 to Customer 5: 13
Facility 6 to Customer 6: 5
Facility 6 to Customer 7: 22
Drone operational costs (L-type drones):
Facility 0 to Customer 0: 30
Facility 0 to Customer 1: 13
Facility 0 to Customer 2: 19
Facility 0 to Customer 3: 34
Facility 0 to Customer 4: 16
Facility 0 to Customer 5: 31
Facility 0 to Customer 6: 32
Facility 0 to Customer 7: 10
Facility 1 to Customer 0: 26
Facility 1 to Customer 1: 33
Facility 1 to Customer 2: 11
Facility 1 to Customer 3: 20
Facility 1 to Customer 4: 18
Facility 1 to Customer 5: 16
Facility 1 to Customer 6: 31
Facility 1 to Customer 7: 26
Facility 2 to Customer 0: 26
Facility 2 to Customer 1: 11
Facility 2 to Customer 2: 15
Facility 2 to Customer 3: 23
Facility 2 to Customer 4: 15
Facility 2 to Customer 5: 11
Facility 2 to Customer 6: 10
Facility 2 to Customer 7: 19
Facility 3 to Customer 0: 30
Facility 3 to Customer 1: 14
Facility 3 to Customer 2: 11
Facility 3 to Customer 3: 31
Facility 3 to Customer 4: 25
Facility 3 to Customer 5: 34
Facility 3 to Customer 6: 11
Facility 3 to Customer 7: 19
Facility 4 to Customer 0: 11
Facility 4 to Customer 1: 25
Facility 4 to Customer 2: 25
Facility 4 to Customer 3: 28
Facility 4 to Customer 4: 16
Facility 4 to Customer 5: 31
Facility 4 to Customer 6: 21
Facility 4 to Customer 7: 33
Facility 5 to Customer 0: 24
Facility 5 to Customer 1: 17
Facility 5 to Customer 2: 15
Facility 5 to Customer 3: 19
Facility 5 to Customer 4: 12
Facility 5 to Customer 5: 28
Facility 5 to Customer 6: 26
Facility 5 to Customer 7: 16
Facility 6 to Customer 0: 30
Facility 6 to Customer 1: 29
Facility 6 to Customer 2: 13
Facility 6 to Customer 3: 23
Facility 6 to Customer 4: 29
Facility 6 to Customer 5: 31
Facility 6 to Customer 6: 24
Facility 6 to Customer 7: 33
Facility capacities:
Facility 0: 12
Facility 1: 19
Facility 2: 18
Facility 3: 13
Facility 4: 12
Facility 5: 21
Facility 6: 6
Small drone payload capacity: 9
Large drone payload capacity: 31
Small drone max range: 32
Large drone max range: 70
