Facility Location Problem Instance
Number of facilities: 8
Number of customers: 9
Grid size: 100x100
Facilities coordinates (x, y):
15, 29
35, 9
24, 12
58, 38
32, 47
56, 8
55, 4
17, 49
Customers coordinates (x, y):
50, 54
26, 21
59, 50
32, 17
52, 0
18, 46
19, 53
37, 37
42, 31
Distances between facilities and customers:
Facility 0 to Customer 0: 43.01
Facility 0 to Customer 1: 13.60
Facility 0 to Customer 2: 48.75
Facility 0 to Customer 3: 20.81
Facility 0 to Customer 4: 47.01
Facility 0 to Customer 5: 17.26
Facility 0 to Customer 6: 24.33
Facility 0 to Customer 7: 23.41
Facility 0 to Customer 8: 27.07
Facility 1 to Customer 0: 47.43
Facility 1 to Customer 1: 15.00
Facility 1 to Customer 2: 47.51
Facility 1 to Customer 3: 8.54
Facility 1 to Customer 4: 19.24
Facility 1 to Customer 5: 40.72
Facility 1 to Customer 6: 46.82
Facility 1 to Customer 7: 28.07
Facility 1 to Customer 8: 23.09
Facility 2 to Customer 0: 49.40
Facility 2 to Customer 1: 9.22
Facility 2 to Customer 2: 51.66
Facility 2 to Customer 3: 9.43
Facility 2 to Customer 4: 30.46
Facility 2 to Customer 5: 34.53
Facility 2 to Customer 6: 41.30
Facility 2 to Customer 7: 28.18
Facility 2 to Customer 8: 26.17
Facility 3 to Customer 0: 17.89
Facility 3 to Customer 1: 36.24
Facility 3 to Customer 2: 12.04
Facility 3 to Customer 3: 33.42
Facility 3 to Customer 4: 38.47
Facility 3 to Customer 5: 40.79
Facility 3 to Customer 6: 41.79
Facility 3 to Customer 7: 21.02
Facility 3 to Customer 8: 17.46
Facility 4 to Customer 0: 19.31
Facility 4 to Customer 1: 26.68
Facility 4 to Customer 2: 27.17
Facility 4 to Customer 3: 30.00
Facility 4 to Customer 4: 51.08
Facility 4 to Customer 5: 14.04
Facility 4 to Customer 6: 14.32
Facility 4 to Customer 7: 11.18
Facility 4 to Customer 8: 18.87
Facility 5 to Customer 0: 46.39
Facility 5 to Customer 1: 32.70
Facility 5 to Customer 2: 42.11
Facility 5 to Customer 3: 25.63
Facility 5 to Customer 4: 8.94
Facility 5 to Customer 5: 53.74
Facility 5 to Customer 6: 58.26
Facility 5 to Customer 7: 34.67
Facility 5 to Customer 8: 26.93
Facility 6 to Customer 0: 50.25
Facility 6 to Customer 1: 33.62
Facility 6 to Customer 2: 46.17
Facility 6 to Customer 3: 26.42
Facility 6 to Customer 4: 5.00
Facility 6 to Customer 5: 55.97
Facility 6 to Customer 6: 60.80
Facility 6 to Customer 7: 37.59
Facility 6 to Customer 8: 29.97
Facility 7 to Customer 0: 33.38
Facility 7 to Customer 1: 29.41
Facility 7 to Customer 2: 42.01
Facility 7 to Customer 3: 35.34
Facility 7 to Customer 4: 60.22
Facility 7 to Customer 5: 3.16
Facility 7 to Customer 6: 4.47
Facility 7 to Customer 7: 23.32
Facility 7 to Customer 8: 30.81
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 21
Facility 0 to Customer 1: 6
Facility 0 to Customer 2: 14
Facility 0 to Customer 3: 20
Facility 0 to Customer 4: 10
Facility 0 to Customer 5: 6
Facility 0 to Customer 6: 6
Facility 0 to Customer 7: 17
