Facility Location Problem Instance
Number of facilities: 8
Number of customers: 9
Grid size: 100x100
Facilities coordinates (x, y):
11, 12
8, 50
34, 56
23, 33
32, 58
17, 53
10, 16
58, 52
Customers coordinates (x, y):
30, 51
18, 47
55, 21
51, 7
29, 4
9, 48
14, 55
43, 46
43, 25
Distances between facilities and customers:
Facility 0 to Customer 0: 43.38
Facility 0 to Customer 1: 35.69
Facility 0 to Customer 2: 44.91
Facility 0 to Customer 3: 40.31
Facility 0 to Customer 4: 19.70
Facility 0 to Customer 5: 36.06
Facility 0 to Customer 6: 43.10
Facility 0 to Customer 7: 46.69
Facility 0 to Customer 8: 34.54
Facility 1 to Customer 0: 22.02
Facility 1 to Customer 1: 10.44
Facility 1 to Customer 2: 55.23
Facility 1 to Customer 3: 60.81
Facility 1 to Customer 4: 50.57
Facility 1 to Customer 5: 2.24
Facility 1 to Customer 6: 7.81
Facility 1 to Customer 7: 35.23
Facility 1 to Customer 8: 43.01
Facility 2 to Customer 0: 6.40
Facility 2 to Customer 1: 18.36
Facility 2 to Customer 2: 40.82
Facility 2 to Customer 3: 51.87
Facility 2 to Customer 4: 52.24
Facility 2 to Customer 5: 26.25
Facility 2 to Customer 6: 20.02
Facility 2 to Customer 7: 13.45
Facility 2 to Customer 8: 32.28
Facility 3 to Customer 0: 19.31
Facility 3 to Customer 1: 14.87
Facility 3 to Customer 2: 34.18
Facility 3 to Customer 3: 38.21
Facility 3 to Customer 4: 29.61
Facility 3 to Customer 5: 20.52
Facility 3 to Customer 6: 23.77
Facility 3 to Customer 7: 23.85
Facility 3 to Customer 8: 21.54
Facility 4 to Customer 0: 7.28
Facility 4 to Customer 1: 17.80
Facility 4 to Customer 2: 43.57
Facility 4 to Customer 3: 54.42
Facility 4 to Customer 4: 54.08
Facility 4 to Customer 5: 25.08
Facility 4 to Customer 6: 18.25
Facility 4 to Customer 7: 16.28
Facility 4 to Customer 8: 34.79
Facility 5 to Customer 0: 13.15
Facility 5 to Customer 1: 6.08
Facility 5 to Customer 2: 49.68
Facility 5 to Customer 3: 57.20
Facility 5 to Customer 4: 50.45
Facility 5 to Customer 5: 9.43
Facility 5 to Customer 6: 3.61
Facility 5 to Customer 7: 26.93
Facility 5 to Customer 8: 38.21
Facility 6 to Customer 0: 40.31
Facility 6 to Customer 1: 32.02
Facility 6 to Customer 2: 45.28
Facility 6 to Customer 3: 41.98
Facility 6 to Customer 4: 22.47
Facility 6 to Customer 5: 32.02
Facility 6 to Customer 6: 39.20
Facility 6 to Customer 7: 44.60
Facility 6 to Customer 8: 34.21
Facility 7 to Customer 0: 28.02
Facility 7 to Customer 1: 40.31
Facility 7 to Customer 2: 31.14
Facility 7 to Customer 3: 45.54
Facility 7 to Customer 4: 56.08
Facility 7 to Customer 5: 49.16
Facility 7 to Customer 6: 44.10
Facility 7 to Customer 7: 16.16
Facility 7 to Customer 8: 30.89
Drone operational costs (S-type drones):
Facility 0 to Customer 0: 17
Facility 0 to Customer 1: 6
Facility 0 to Customer 2: 16
Facility 0 to Customer 3: 14
Facility 0 to Customer 4: 16
