Facility Location Problem Instance
Number of facilities: 50
Number of customers: 80
Grid size: 200x200
Facilities coordinates (x, y):
8, 88
6, 59
80, 72
48, 125
56, 44
137, 76
29, 160
169, 42
123, 110
74, 139
154, 121
61, 48
25, 178
118, 173
181, 34
121, 157
168, 189
191, 12
162, 148
39, 93
136, 172
41, 127
132, 23
125, 27
32, 56
104, 7
195, 132
89, 104
111, 74
159, 48
112, 56
37, 163
50, 29
149, 167
20, 160
57, 116
102, 100
175, 78
122, 141
50, 183
89, 76
22, 100
181, 159
8, 132
49, 194
35, 96
41, 166
8, 136
84, 196
134, 103
Customers coordinates (x, y):
77, 199
78, 175
73, 60
25, 43
32, 41
158, 95
61, 50
183, 104
185, 5
8, 108
102, 11
90, 101
160, 70
142, 176
125, 162
34, 153
12, 191
14, 77
135, 12
12, 25
163, 27
37, 102
131, 28
54, 189
141, 63
90, 156
139, 24
160, 147
77, 101
126, 17
124, 50
13, 44
88, 38
156, 121
80, 76
25, 33
167, 21
126, 111
193, 121
73, 85
159, 111
56, 139
162, 69
176, 111
23, 146
1, 137
197, 153
171, 30
31, 72
165, 195
68, 78
172, 145
29, 34
144, 187
125, 50
126, 73
126, 110
0, 98
155, 106
74, 131
126, 48
137, 191
14, 15
138, 126
115, 120
30, 94
125, 24
121, 43
176, 161
86, 103
168, 101
166, 81
161, 39
48, 91
31, 52
63, 193
176, 83
172, 106
178, 118
196, 108
Distances between facilities and customers:
Facility 0 to Customer 0: 130.70
Facility 0 to Customer 1: 111.66
Facility 0 to Customer 2: 70.77
Facility 0 to Customer 3: 48.10
Facility 0 to Customer 4: 52.77
Facility 0 to Customer 5: 150.16
Facility 0 to Customer 6: 65.22
Facility 0 to Customer 7: 175.73
Facility 0 to Customer 8: 195.49
Facility 0 to Customer 9: 20.00
Facility 0 to Customer 10: 121.51
Facility 0 to Customer 11: 83.02
Facility 0 to Customer 12: 153.06
Facility 0 to Customer 13: 160.31
Facility 0 to Customer 14: 138.44
Facility 0 to Customer 15: 70.01
Facility 0 to Customer 16: 103.08
Facility 0 to Customer 17: 12.53
Facility 0 to Customer 18: 148.00
Facility 0 to Customer 19: 63.13
Facility 0 to Customer 20: 166.57
Facility 0 to Customer 21: 32.20
Facility 0 to Customer 22: 136.85
Facility 0 to Customer 23: 110.98
Facility 0 to Customer 24: 135.33
Facility 0 to Customer 25: 106.53
Facility 0 to Customer 26: 145.80
Facility 0 to Customer 27: 163.05
Facility 0 to Customer 28: 70.21
Facility 0 to Customer 29: 137.71
Facility 0 to Customer 30: 122.07
Facility 0 to Customer 31: 44.28
Facility 0 to Customer 32: 94.34
Facility 0 to Customer 33: 151.63
Facility 0 to Customer 34: 72.99
Facility 0 to Customer 35: 57.57
Facility 0 to Customer 36: 172.54
Facility 0 to Customer 37: 120.22
Facility 0 to Customer 38: 187.92
Facility 0 to Customer 39: 65.07
Facility 0 to Customer 40: 152.74
Facility 0 to Customer 41: 70.04
Facility 0 to Customer 42: 155.17
Facility 0 to Customer 43: 169.57
Facility 0 to Customer 44: 59.91
Facility 0 to Customer 45: 49.50
Facility 0 to Customer 46: 199.86
Facility 0 to Customer 47: 173.01
Facility 0 to Customer 48: 28.02
Facility 0 to Customer 49: 189.99
Facility 0 to Customer 50: 60.83
Facility 0 to Customer 51: 173.62
Facility 0 to Customer 52: 57.94
Facility 0 to Customer 53: 168.22
Facility 0 to Customer 54: 123.02
Facility 0 to Customer 55: 118.95
Facility 0 to Customer 56: 120.03
Facility 0 to Customer 57: 12.81
Facility 0 to Customer 58: 148.10
Facility 0 to Customer 59: 78.77
Facility 0 to Customer 60: 124.60
Facility 0 to Customer 61: 165.08
Facility 0 to Customer 62: 73.25
Facility 0 to Customer 63: 135.44
Facility 0 to Customer 64: 111.68
Facility 0 to Customer 65: 22.80
Facility 0 to Customer 66: 133.36
Facility 0 to Customer 67: 121.63
Facility 0 to Customer 68: 183.17
Facility 0 to Customer 69: 79.43
Facility 0 to Customer 70: 160.53
Facility 0 to Customer 71: 158.15
Facility 0 to Customer 72: 160.65
Facility 0 to Customer 73: 40.11
Facility 0 to Customer 74: 42.72
