Facility Location Problem Instance
Number of facilities: 50
Number of customers: 80
Grid size: 200x200
Facilities coordinates (x, y):
92, 181
35, 162
15, 51
47, 55
157, 199
11, 105
16, 102
156, 161
154, 173
161, 34
69, 160
146, 156
66, 37
111, 144
197, 178
52, 96
147, 172
27, 88
31, 5
133, 45
90, 190
77, 95
111, 117
183, 193
168, 147
172, 138
68, 51
49, 193
104, 139
49, 19
57, 94
145, 106
96, 149
89, 27
90, 61
172, 115
46, 44
7, 188
178, 74
106, 199
174, 192
1, 51
54, 102
77, 116
24, 138
7, 91
10, 110
45, 155
113, 108
195, 136
Customers coordinates (x, y):
111, 23
165, 155
77, 127
70, 31
127, 111
135, 63
186, 192
144, 29
189, 94
28, 116
191, 130
59, 174
105, 35
56, 92
62, 143
162, 22
103, 104
159, 96
6, 134
57, 143
169, 102
92, 194
193, 11
89, 95
100, 27
128, 166
24, 185
184, 126
114, 198
80, 21
195, 112
66, 142
175, 184
174, 134
63, 149
59, 124
183, 31
170, 25
116, 139
172, 87
50, 36
49, 127
175, 186
160, 16
91, 9
122, 155
11, 60
97, 104
150, 23
10, 158
176, 122
97, 149
22, 171
110, 27
161, 125
122, 28
100, 1
110, 64
16, 105
33, 161
65, 49
131, 51
167, 80
83, 59
83, 193
23, 129
193, 108
121, 61
83, 97
105, 140
67, 47
115, 103
167, 32
129, 18
172, 132
69, 66
58, 172
123, 17
153, 128
157, 106
Distances between facilities and customers:
Facility 0 to Customer 0: 159.14
Facility 0 to Customer 1: 77.49
Facility 0 to Customer 2: 56.04
Facility 0 to Customer 3: 151.60
Facility 0 to Customer 4: 78.26
Facility 0 to Customer 5: 125.59
Facility 0 to Customer 6: 94.64
Facility 0 to Customer 7: 160.65
Facility 0 to Customer 8: 130.30
Facility 0 to Customer 9: 91.22
Facility 0 to Customer 10: 111.36
Facility 0 to Customer 11: 33.73
Facility 0 to Customer 12: 146.58
Facility 0 to Customer 13: 96.01
Facility 0 to Customer 14: 48.41
Facility 0 to Customer 15: 173.73
Facility 0 to Customer 16: 77.78
Facility 0 to Customer 17: 108.23
Facility 0 to Customer 18: 98.01
Facility 0 to Customer 19: 51.66
Facility 0 to Customer 20: 110.32
Facility 0 to Customer 21: 13.00
Facility 0 to Customer 22: 197.74
Facility 0 to Customer 23: 86.05
Facility 0 to Customer 24: 154.21
Facility 0 to Customer 25: 39.00
Facility 0 to Customer 26: 68.12
Facility 0 to Customer 27: 107.19
Facility 0 to Customer 28: 27.80
Facility 0 to Customer 29: 160.45
Facility 0 to Customer 30: 123.98
Facility 0 to Customer 31: 46.87
Facility 0 to Customer 32: 83.05
Facility 0 to Customer 33: 94.51
Facility 0 to Customer 34: 43.19
Facility 0 to Customer 35: 65.86
Facility 0 to Customer 36: 175.45
Facility 0 to Customer 37: 174.41
Facility 0 to Customer 38: 48.37
Facility 0 to Customer 39: 123.43
Facility 0 to Customer 40: 150.96
Facility 0 to Customer 41: 69.03
Facility 0 to Customer 42: 83.15
Facility 0 to Customer 43: 178.46
Facility 0 to Customer 44: 172.00
Facility 0 to Customer 45: 39.70
Facility 0 to Customer 46: 145.61
Facility 0 to Customer 47: 77.16
Facility 0 to Customer 48: 168.31
Facility 0 to Customer 49: 85.16
Facility 0 to Customer 50: 102.65
Facility 0 to Customer 51: 32.39
Facility 0 to Customer 52: 70.71
Facility 0 to Customer 53: 155.05
Facility 0 to Customer 54: 88.87
Facility 0 to Customer 55: 155.91
Facility 0 to Customer 56: 180.18
Facility 0 to Customer 57: 118.38
Facility 0 to Customer 58: 107.48
Facility 0 to Customer 59: 62.30
Facility 0 to Customer 60: 134.73
Facility 0 to Customer 61: 135.72
Facility 0 to Customer 62: 125.80
Facility 0 to Customer 63: 122.33
Facility 0 to Customer 64: 15.00
Facility 0 to Customer 65: 86.40
Facility 0 to Customer 66: 124.62
Facility 0 to Customer 67: 123.45
Facility 0 to Customer 68: 84.48
Facility 0 to Customer 69: 43.01
Facility 0 to Customer 70: 136.31
Facility 0 to Customer 71: 81.32
Facility 0 to Customer 72: 166.81
Facility 0 to Customer 73: 167.15
Facility 0 to Customer 74: 93.81
Facility 0 to Customer 75: 117.28
Facility 0 to Customer 76: 35.17
Facility 0 to Customer 77: 166.90
Facility 0 to Customer 78: 80.81
Facility 0 to Customer 79: 99.25
Facility 1 to Customer 0: 158.42
Facility 1 to Customer 1: 130.19
Facility 1 to Customer 2: 54.67
Facility 1 to Customer 3: 135.59
Facility 1 to Customer 4: 105.19
Facility 1 to Customer 5: 140.72
Facility 1 to Customer 6: 153.95
Facility 1 to Customer 7: 171.96
Facility 1 to Customer 8: 168.34
Facility 1 to Customer 9: 46.53
Facility 1 to Customer 10: 159.25
Facility 1 to Customer 11: 26.83
Facility 1 to Customer 12: 145.01
